Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-12-10,165.0,144.71,141.26,146.0,338415,29426516
2020-12-11,151.4,139.25,135.11,146.94,89013,7348643
2020-12-14,135.0,130.0,125.19,135.0,46429,4045963
2020-12-15,127.6,124.8,121.51,126.27,31207,2699072
2020-12-16,142.0,137.99,124.95,125.83,38487,5494124
2020-12-17,152.43,147.05,142.97,143.0,32149,2728229
2020-12-18,159.0,157.3,150.3,150.3,31859,4867671
2020-12-21,171.99,163.02,145.11,155.31,40099,3181047
2020-12-22,174.97,163.19,161.19,170.0,24595,1870824
2020-12-23,168.205,158.01,155.56,162.95,15524,1113705
2020-12-24,162.74,154.84,154.16,159.16,9309,851250
2020-12-28,163.61,149.0,147.52,158.55,19236,1197866
2020-12-29,151.58,150.0,143.2,150.0,13833,950639
2020-12-30,152.66,148.43,145.7,151.34,11751,778374
2020-12-31,147.82,146.8,144.51,146.9,8184,541492
2021-01-04,151.0,139.15,137.02,151.0,24618,1454666
2021-01-05,148.95,148.3,137.26,138.28,18263,1340949
2021-01-06,148.31,142.77,141.22,145.75,11996,696533
2021-01-07,154.39,151.27,145.31,146.47,14373,876884
2021-01-08,155.54,149.77,147.41,153.45,14453,1000746
2021-01-11,150.47,148.13,144.05,147.99,11850,766848
2021-01-12,163.82,160.8,143.61,148.08,26891,1770729
2021-01-13,178.46,169.99,159.55,160.81,41794,2581355
2021-01-14,187.16,180.5,175.18,175.5,30746,2258089
2021-01-15,185.93,169.27,164.92,184.88,32092,1941727
2021-01-19,178.45,173.69,166.79,174.03,16747,1026966
2021-01-20,176.31,161.83,161.0,176.31,38975,2192473
2021-01-21,183.45,180.4,155.5,164.99,51776,3463364
2021-01-22,185.25,181.87,175.31,178.41,29308,2014001
2021-01-25,192.36,177.53,170.03,186.05,34088,1951104
2021-01-26,193.0,192.74,177.3,180.0,26055,1849112
2021-01-27,215.98,201.25,186.8,187.3,46077,2790814
2021-01-28,212.76,187.37,187.1,202.6,47524,2161920
2021-01-29,193.38,183.63,179.31,190.71,29868,1288212
2021-02-01,188.82,180.44,179.74,188.82,23303,1094461
2021-02-02,186.2,179.17,177.12,183.22,21976,1217877
2021-02-03,190.55,185.72,180.05,181.98,14848,976465
2021-02-04,195.95,195.8,186.2,187.07,13389,812864
2021-02-05,197.16,195.31,190.26,197.0,13842,876681
2021-02-08,201.94,200.43,191.59,199.93,14474,1005857
2021-02-09,209.0,199.88,196.4,200.0,22069,1353712
2021-02-10,214.56,211.66,202.2,205.48,22075,1284346
2021-02-11,219.94,216.84,207.02,213.5,17191,876004
2021-02-12,216.94,212.68,209.0,214.26,13054,754003
2021-02-16,218.76,209.86,209.11,216.43,19757,1205577
2021-02-17,208.42,201.96,196.22,208.42,20629,995357
2021-02-18,200.36,198.04,192.17,199.01,14917,715342
2021-02-19,205.51,201.07,200.18,204.13,11680,679056
2021-02-22,204.99,195.34,193.68,200.7,17582,877674
2021-02-23,191.4,187.59,175.0,189.0,28639,1503422
2021-02-24,208.0,200.2,189.0,190.74,29059,1642689
2021-02-25,199.8,182.06,180.0,198.9,53483,2921373
2021-02-26,214.0,206.35,185.75,194.18,71034,6142337
2021-03-01,199.69,196.42,192.66,195.98,50906,5901211
2021-03-02,200.0,189.9,188.58,195.71,34131,3213554
2021-03-03,188.48,180.4,178.83,186.89,54809,3374200
2021-03-04,183.88,180.23,170.87,178.81,44048,2697113
2021-03-05,182.82,179.81,161.9,181.65,38165,2100945
2021-03-08,186.36,180.81,177.15,179.01,19753,1357107
2021-03-09,189.45,183.11,180.79,184.91,25359,1877531
2021-03-10,191.0,183.79,181.59,184.76,23736,1889064
2021-03-11,201.0,197.87,188.5,189.85,23510,1428462
2021-03-12,208.64,206.74,192.2,196.5,22989,1297068
2021-03-15,213.63,209.99,203.85,210.0,20533,1009050
2021-03-16,215.49,200.01,198.38,209.76,22294,1127546
2021-03-17,203.46,201.36,194.47,195.63,16249,990781
2021-03-18,199.72,191.45,190.76,197.0,20927,995603
2021-03-19,196.49,194.39,187.88,193.01,15970,1891184
2021-03-22,203.3,195.0,194.8,196.85,19825,861810
2021-03-23,196.0,187.14,185.75,196.0,18798,856205
2021-03-24,189.27,178.85,178.53,189.0,23814,1039668
2021-03-25,179.41,176.16,170.52,172.9,25009,1154688
2021-03-26,180.98,174.4,168.0,179.0,20778,917815
2021-03-29,185.46,182.5,173.81,175.36,21216,1214294
2021-03-30,185.23,183.1,178.38,182.5,10734,574035
2021-03-31,192.23,187.94,185.39,185.43,13794,640128
2021-04-01,193.99,188.24,185.6,192.5,15207,779483
2021-04-05,192.08,186.69,185.89,191.66,10485,524867
2021-04-06,194.48,190.03,187.6,188.66,14141,1017427
2021-04-07,190.52,179.94,179.47,190.06,29621,1566850
2021-04-08,183.9,180.18,179.5,181.91,13435,644370
2021-04-09,182.3,179.5,177.29,179.62,13481,708618
2021-04-12,181.36,176.49,176.39,179.68,16284,814877
2021-04-13,178.61,177.95,172.15,175.26,16246,903867
2021-04-14,181.42,176.43,175.33,179.5,13745,652744
2021-04-15,178.24,175.35,174.29,177.0,12608,633018
2021-04-16,179.51,178.69,172.94,176.36,14008,755320
2021-04-19,178.7,174.58,171.55,177.32,13436,689334
2021-04-20,174.9,169.57,165.57,173.52,22000,1101745
2021-04-21,170.26,167.07,164.22,168.26,19983,933519
2021-04-22,176.76,170.71,168.48,168.5,16672,922663
2021-04-23,178.23,174.25,172.01,172.79,16606,906161
2021-04-26,175.94,174.88,171.12,175.21,13396,646117
2021-04-27,179.6,177.94,174.8,176.13,13635,682244
2021-04-28,181.67,180.0,173.5,174.28,12506,635704
2021-04-29,182.49,177.68,173.48,182.33,15190,728952
2021-04-30,176.4,172.71,172.05,173.1,15432,1022039
2021-05-03,173.44,168.11,167.86,173.19,14514,759736
2021-05-04,169.04,168.9,161.96,167.57,22219,1372538
2021-05-05,170.15,162.33,162.12,169.3,15681,760393
2021-05-06,162.01,153.64,150.75,162.0,43339,2167284
2021-05-07,157.0,151.21,148.78,156.2,34883,2118807
2021-05-10,150.29,146.73,144.52,150.22,28584,1287469
2021-05-11,144.23,142.73,136.1,139.1,37666,2189710
2021-05-12,144.76,140.25,138.75,140.9,24889,1408171
2021-05-13,142.26,135.75,131.29,142.26,54637,3224736
2021-05-14,142.25,141.2,131.67,137.83,67227,5667469
2021-05-17,137.74,132.5,130.26,137.0,117112,10556877
2021-05-18,138.4,135.02,131.5,133.99,57219,4876249
2021-05-19,138.38,138.19,130.0,130.0,64514,4546112
2021-05-20,138.5,136.2,135.66,138.22,40905,2768991
2021-05-21,137.17,134.71,132.92,136.59,37885,3630905
2021-05-24,137.98,135.91,134.42,135.5,40591,2745206
2021-05-25,137.84,133.99,133.58,137.5,42776,2729508
2021-05-26,135.66,134.75,133.75,134.75,29985,1813149
2021-05-27,143.8,143.17,134.51,134.9,74578,5833868
2021-05-28,144.9,140.4,140.27,144.61,45109,3149491
2021-06-01,146.0,144.31,141.6,143.82,60874,4138362
2021-06-02,152.7,151.0,144.48,144.85,50495,4133038
2021-06-03,151.11,144.19,143.8,149.5,42300,2928314
2021-06-04,151.55,150.73,145.0,145.49,30228,2040008
2021-06-07,150.81,148.97,146.41,150.73,34263,2183372
2021-06-08,150.66,147.01,145.86,150.5,24047,1497293
2021-06-09,149.32,144.85,144.48,148.34,25910,1299417
2021-06-10,147.43,146.12,141.05,141.66,38294,2773360
2021-06-11,148.92,148.44,145.22,146.0,22633,1257870
2021-06-14,149.525,149.21,146.85,149.25,23778,1388572
2021-06-15,153.74,151.78,148.88,149.0,37109,2609482
2021-06-16,152.35,149.15,146.92,150.95,34076,3052182
2021-06-17,152.29,150.7,148.7,148.75,28666,2948500
2021-06-18,154.8,152.52,149.4,150.3,29173,6185076
2021-06-21,152.3,149.7,145.87,151.84,32149,2848078
2021-06-22,151.58,149.68,148.4,149.67,18302,1875153
2021-06-23,154.59,151.58,147.83,149.76,39737,2588623
2021-06-24,153.55,150.73,149.86,152.5,24745,1691050
2021-06-25,153.17,149.67,149.29,151.32,22265,1635779
2021-06-28,150.89,149.94,147.08,148.64,29573,1974091
2021-06-29,149.94,146.08,145.79,149.73,26648,1695619
2021-06-30,154.06,153.14,144.3,145.71,34751,2653636
2021-07-01,157.37,153.08,151.47,154.5,34717,2328500
2021-07-02,154.9,150.23,149.57,153.31,17846,1200299
2021-07-06,152.8,148.37,147.86,150.08,20821,1375602
2021-07-07,148.84,143.72,143.64,148.04,26530,1520354
2021-07-08,143.73,142.53,139.55,140.81,22672,1289984
2021-07-09,150.26,149.64,143.5,143.95,22662,1514655
2021-07-12,150.42,146.69,146.05,148.96,13417,803848
2021-07-13,147.4,143.41,143.0,147.4,30424,1757244
2021-07-14,144.19,139.09,139.05,143.8,37523,2101765
2021-07-15,140.52,137.5,136.55,139.08,28580,1534834
2021-07-16,139.74,134.31,133.53,139.69,29367,1647981
2021-07-19,133.77,131.88,130.32,131.5,32506,1946436
2021-07-20,137.42,136.09,131.7,132.75,25684,1611205
2021-07-21,140.15,139.25,135.78,136.71,23814,1464409
2021-07-22,141.0,139.47,137.71,141.0,26733,1508026
2021-07-23,140.0,138.73,137.41,139.64,14314,753311
2021-07-26,142.17,142.0,137.2,139.13,24743,1583915
2021-07-27,142.52,141.58,138.32,141.21,21605,1208193
2021-07-28,143.73,143.3,141.04,141.13,19804,1159801
2021-07-29,145.0,143.47,141.71,143.75,23190,1307223
2021-07-30,144.68,144.01,141.75,141.75,21139,1227851
2021-08-02,146.27,145.49,143.49,143.85,20829,1167249
2021-08-03,147.61,145.65,143.29,147.53,25730,1643089
2021-08-04,147.45,147.4,145.04,145.1,23809,1434236
2021-08-05,150.41,150.32,146.48,146.67,21458,1286198
2021-08-06,150.19,149.99,147.58,148.87,16530,1039588
2021-08-09,151.0,149.44,148.8,148.98,18658,1346627
2021-08-10,150.76,147.95,147.85,149.0,19453,1215597
2021-08-11,149.26,148.16,145.18,147.54,25035,1644919
2021-08-12,151.67,151.15,146.55,148.41,36619,2819966
2021-08-13,152.76,152.76,144.51,146.91,49581,3591659
2021-08-16,152.0,148.57,144.95,151.85,29511,2006920
2021-08-17,148.17,143.9,143.62,145.04,25551,1712797
2021-08-18,148.68,146.74,141.75,143.77,21835,1274675
2021-08-19,145.095,142.65,141.94,143.31,19844,1386629
2021-08-20,143.93,143.7,141.5,142.0,13320,752313
2021-08-23,147.59,146.79,144.15,144.9,17177,1339080
2021-08-24,161.96,161.42,146.7,147.0,63792,5631879
2021-08-25,163.04,160.35,158.0,158.28,27551,1902422
2021-08-26,159.41,152.73,151.47,159.0,26679,1591563
2021-08-27,156.4,154.18,151.5,152.13,19497,1286008
2021-08-30,157.49,156.02,151.92,154.41,17797,1194506
2021-08-31,158.12,154.99,153.61,155.64,21019,3469144
2021-09-01,158.6,156.59,154.29,154.84,17838,1067626
2021-09-02,159.46,157.2,156.6,157.0,14329,806970
2021-09-03,160.64,158.0,157.2,158.05,16837,1019912
2021-09-07,165.73,165.0,159.55,159.72,36697,2558980
2021-09-08,166.55,163.93,161.7,163.0,25056,1470419
2021-09-09,166.97,166.0,160.88,163.0,22401,1497689
