Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-03-26,9.15125,9.14875,9.09375,9.09375,444,641720
2013-03-27,9.14625,9.14375,9.055,9.0825,626,893720
2013-03-28,9.3375,9.33125,9.12625,9.13625,790,2345784
2013-04-01,9.34625,9.19,9.16875,9.34625,543,926000
2013-04-02,9.2725,9.21375,9.185,9.20125,686,1144464
2013-04-03,9.255,9.165,9.155,9.235,595,1153256
2013-04-04,9.2325,9.15375,9.14,9.1575,573,944992
2013-04-05,9.0625,9.00625,8.9375,9.005,988,1773872
2013-04-08,9.13,9.13,9.00625,9.03,646,896936
2013-04-09,9.15875,9.125,9.0275,9.14875,532,958672
2013-04-10,9.30125,9.295,9.13,9.14375,583,1042160
2013-04-11,9.365,9.34625,9.255,9.29,601,933888
2013-04-12,9.3,9.18625,9.15125,9.25375,534,1284408
2013-04-15,9.1525,8.9375,8.9375,9.1525,1338,1778104
2013-04-16,9.18875,9.18875,9.0,9.0025,1262,1892856
2013-04-17,9.11625,9.0325,8.8975,9.11625,2192,2844136
2013-04-18,9.1775,9.02875,8.96375,9.06375,1917,2634480
2013-04-19,9.1,9.0975,8.905,9.05,1536,2559120
2013-04-22,9.2725,9.225,9.09875,9.115,1310,1632608
2013-04-23,9.27875,9.2475,9.1275,9.25625,1159,1395744
2013-04-24,9.3225,9.29625,9.24,9.26125,1278,1782104
2013-04-25,9.48125,9.41125,9.23125,9.325,1272,1803016
2013-04-26,9.39375,9.2875,9.28125,9.39375,992,1383504
2013-04-29,9.39875,9.3625,9.30125,9.31625,874,1357640
2013-04-30,9.4425,9.44,9.32875,9.375,962,1935904
2013-05-01,9.5,9.44125,9.39625,9.4375,1121,1500632
2013-05-02,9.505,9.47375,9.45625,9.4575,656,3601088
2013-05-03,9.655,9.645,9.55875,9.55875,846,1389856
2013-05-06,9.68875,9.645,9.5875,9.625,961,1643304
2013-05-07,9.74875,9.73625,9.63875,9.65875,427,853568
2013-05-08,9.75125,9.7475,9.68375,9.7225,355,585032
2013-05-09,9.835,9.78125,9.73875,9.74,490,725104
2013-05-10,10.03625,10.03625,9.8275,9.8275,783,1270488
2013-05-13,10.0175,9.98,9.93375,10.015,481,811624
2013-05-14,10.1025,10.1025,9.98,9.98,403,744560
2013-05-15,10.17375,10.17,10.03,10.08375,706,1327032
2013-05-16,10.22875,10.1775,10.145,10.16125,874,1509024
2013-05-17,10.42,10.41125,10.20875,10.22,850,1762648
2013-05-20,10.40125,10.24125,10.22,10.37875,868,4050488
2013-05-21,10.2475,10.125,10.0925,10.2375,761,1396184
2013-05-22,10.01125,9.705,9.63875,9.99625,1667,2827376
2013-05-23,9.78,9.75,9.6075,9.62875,1484,3281176
2013-05-24,9.81625,9.7925,9.6675,9.695,1100,1672720
2013-05-28,9.93,9.83125,9.78875,9.90375,744,1277520
2013-05-29,9.82375,9.77875,9.70625,9.7625,1461,2671976
2013-05-30,9.83,9.80625,9.76625,9.8,1077,1839672
2013-05-31,9.8525,9.7375,9.735,9.7575,857,2277656
2013-06-03,9.8375,9.8375,9.69625,9.76125,985,1522256
2013-06-04,9.89625,9.715,9.68375,9.8375,1201,1760488
2013-06-05,9.66875,9.5925,9.51375,9.6675,1232,1713488
2013-06-06,9.66875,9.65875,9.5425,9.6075,954,1601720
2013-06-07,9.80125,9.715,9.6825,9.7025,780,1178776
2013-06-10,9.74375,9.7275,9.675,9.73,452,661328
2013-06-11,9.685,9.59375,9.5925,9.60875,585,852320
2013-06-12,9.6725,9.51125,9.49375,9.6625,510,680176
2013-06-13,9.64375,9.63,9.46375,9.5125,785,1095032
2013-06-14,9.65875,9.525,9.52375,9.64875,708,1031264
2013-06-17,9.95875,9.875,9.595,9.595,1683,2154888
2013-06-18,9.95375,9.91,9.86625,9.895,599,844344
2013-06-19,9.9325,9.78375,9.78375,9.88625,641,887352
2013-06-20,9.71625,9.45125,9.4325,9.67875,945,1484544
2013-06-21,9.605,9.54875,9.475,9.53625,1046,3249520
2013-06-24,9.52375,9.37,9.36,9.43375,869,1256400
2013-06-25,9.58875,9.54875,9.46375,9.47125,662,1131864
2013-06-26,9.705,9.69,9.5625,9.6575,483,753472
2013-06-27,9.94,9.9275,9.74375,9.745,1161,2133464
2013-06-28,9.92375,9.7425,9.7425,9.92375,1225,4580272
2013-07-01,9.86375,9.8125,9.7625,9.8275,1612,3176200
2013-07-02,9.8525,9.80875,9.74375,9.8125,771,1427856
2013-07-03,9.88875,9.8625,9.7025,9.72875,370,600040
2013-07-05,10.0325,10.03125,9.8975,9.9275,552,927960
2013-07-08,10.1075,10.06,9.98125,10.0625,601,1066720
2013-07-09,10.2225,10.21875,10.12375,10.13875,683,1290536
2013-07-10,10.3475,10.34125,10.21,10.21625,808,1291144
2013-07-11,10.6525,10.64125,10.375,10.375,1240,2272248
2013-07-12,10.6975,10.6725,10.61875,10.63625,940,1622320
2013-07-15,10.70625,10.615,10.60875,10.6725,499,792272
2013-07-16,10.67125,10.535,10.50875,10.63375,453,888992
2013-07-17,10.6375,10.57125,10.51125,10.60375,576,977632
2013-07-18,9.875,9.54375,9.5,9.8125,3048,4919624
2013-07-19,9.6075,9.5975,9.385,9.505,1297,2732592
2013-07-22,9.815,9.81375,9.5875,9.615,1116,2006192
2013-07-23,9.85,9.74,9.67875,9.85,1017,1710864
2013-07-24,9.83,9.73875,9.69375,9.77875,821,1095920
2013-07-25,9.735,9.69125,9.645,9.71,1345,2349464
2013-07-26,9.7,9.68875,9.56625,9.56625,1201,2067712
2013-07-29,9.715,9.67125,9.61125,9.6875,1123,2031832
2013-07-30,9.785,9.74625,9.6825,9.695,1271,2884536
2013-07-31,9.8975,9.82,9.77375,9.81125,1176,2383328
2013-08-01,9.995,9.98375,9.8725,9.9025,730,1236592
2013-08-02,9.9675,9.88625,9.83375,9.93125,696,1281304
2013-08-05,10.09625,9.92125,9.895,9.8975,719,1162064
2013-08-06,9.925,9.84375,9.83375,9.88375,711,1209920
2013-08-07,9.81,9.68125,9.66375,9.78875,737,1190968
2013-08-08,9.7475,9.6825,9.67125,9.735,978,1849168
2013-08-09,9.71,9.69625,9.61,9.68,995,1897848
2013-08-12,9.7225,9.68625,9.6675,9.68375,671,1098464
2013-08-13,9.76125,9.67375,9.65125,9.76125,645,1465904
2013-08-14,9.68125,9.6,9.57125,9.65875,476,782008
2013-08-15,9.48625,9.38625,9.3825,9.48375,657,1067904
2013-08-16,9.43875,9.34875,9.3375,9.355,678,1587416
2013-08-19,9.3375,9.265,9.26375,9.3375,721,1064720
2013-08-20,9.46,9.44125,9.27125,9.27125,675,1076840
2013-08-21,9.50375,9.44625,9.37875,9.405,773,1328000
2013-08-22,9.73375,9.7275,9.46,9.48375,1188,1843560
2013-08-23,9.79375,9.725,9.68375,9.745,560,945200
2013-08-26,9.74875,9.63,9.6275,9.72375,488,719368
2013-08-27,9.5725,9.39625,9.38625,9.49625,587,894560
2013-08-28,9.55,9.51125,9.40625,9.40625,479,938792
2013-08-29,9.5975,9.54375,9.47875,9.47875,382,595840
2013-08-30,9.555,9.47125,9.42375,9.54875,492,1158064
2013-09-03,9.56,9.41875,9.3725,9.46875,920,1894088
2013-09-04,9.5725,9.545,9.39875,9.45375,538,1260184
2013-09-05,9.585,9.45375,9.44875,9.53125,519,860416
2013-09-06,9.47,9.39375,9.35375,9.46125,1138,1581488
2013-09-09,9.665,9.525,9.49125,9.5625,1127,1821128
2013-09-10,9.7525,9.7525,9.595,9.6025,799,1709528
2013-09-11,9.7925,9.76375,9.6825,9.71375,577,1112552
2013-09-12,9.7725,9.71625,9.695,9.76375,664,1021432
2013-09-13,9.76,9.66125,9.605,9.7525,530,914936
2013-09-16,9.80375,9.76,9.71375,9.79,592,995584
2013-09-17,9.7975,9.765,9.7175,9.77,365,592392
2013-09-18,9.79875,9.7925,9.675,9.75,705,986736
2013-09-19,9.8475,9.835,9.79,9.7975,562,895680
2013-09-20,9.795,9.595,9.57625,9.75125,792,2939536
2013-09-23,9.705,9.675,9.5875,9.685,906,1587016
2013-09-24,9.74375,9.66625,9.5725,9.6775,679,1109536
2013-09-25,9.75375,9.72375,9.61125,9.6525,759,1074912
2013-09-26,9.77875,9.7475,9.69375,9.7225,462,726400
2013-09-27,9.70125,9.6925,9.63,9.68125,415,839880
2013-09-30,9.71,9.6725,9.59875,9.59875,521,1491328
2013-10-01,9.73125,9.7025,9.6325,9.67375,637,1135896
2013-10-02,9.69375,9.69375,9.5725,9.62625,604,1169496
2013-10-03,9.68,9.53125,9.46625,9.64875,523,1036328
2013-10-04,9.56875,9.56125,9.525,9.55875,672,1156288
2013-10-07,9.5475,9.47625,9.45,9.48625,488,825008
2013-10-08,9.525,9.35375,9.34875,9.46125,956,1381864
2013-10-09,9.48625,9.46125,9.27625,9.36625,984,1466064
2013-10-10,9.6125,9.5225,9.51375,9.56,844,1430432
2013-10-11,9.6375,9.63125,9.49,9.51,685,1030896
2013-10-14,9.695,9.6375,9.5725,9.57625,801,1146512
2013-10-15,9.75,9.68125,9.58,9.59125,1142,1915608
2013-10-16,9.905,9.88125,9.72625,9.75,1202,1963392
2013-10-17,10.2425,10.14,9.81375,9.885,1433,1977584
2013-10-18,10.315,10.29125,10.23625,10.315,890,2081128
2013-10-21,10.3325,10.2925,10.26875,10.30375,577,924072
2013-10-22,10.36875,10.24875,10.24125,10.29375,887,1391040
2013-10-23,10.24,10.195,10.165,10.22125,674,1059584
2013-10-24,10.2225,10.16125,10.15,10.1675,681,1247720
2013-10-25,10.1875,10.15875,10.095,10.18,954,1549240
2013-10-28,10.17375,10.09125,10.05125,10.17375,501,1109784
2013-10-29,10.165,10.1175,10.09,10.115,763,1242056
2013-10-30,10.1425,10.0525,10.03875,10.1425,826,2010768
2013-10-31,10.15,10.03625,10.01,10.03625,652,1600800
