Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-03-26,26.2475,26.2325,25.9675,26.07,452,507416
2013-03-27,26.6975,26.685,26.055,26.0925,581,393048
2013-03-28,27.01,26.97,26.65,26.685,479,321912
2013-04-01,27.0575,26.6375,26.44,26.95,457,255984
2013-04-02,27.05,26.9275,26.8,26.8,435,262528
2013-04-03,26.975,26.7625,26.6625,26.925,327,298160
2013-04-04,27.0025,26.995,26.685,26.805,487,277552
2013-04-05,26.8825,26.5425,26.44,26.75,671,387232
2013-04-08,26.5975,26.5975,26.365,26.5525,181,112032
2013-04-09,26.7375,26.6525,26.4875,26.5775,285,198400
2013-04-10,27.12,27.0425,26.6325,26.675,363,425752
2013-04-11,27.4825,27.4725,27.0,27.125,407,291960
2013-04-12,27.4425,27.2375,27.0775,27.4075,578,324080
2013-04-15,27.185,26.77,26.6725,27.185,799,508032
2013-04-16,27.1925,27.1575,26.75,27.0775,698,511716
2013-04-17,27.095,26.97,26.8025,27.0625,869,499456
2013-04-18,27.085,26.465,26.3475,26.975,376,204108
2013-04-19,26.695,26.5625,26.105,26.45,327,187328
2013-04-22,26.6125,26.52,26.255,26.6125,203,120256
2013-04-23,27.1175,27.05,26.61,26.685,378,226252
2013-04-24,27.01,26.905,26.7625,26.9975,237,162048
2013-04-25,26.9425,26.8225,26.74,26.9425,278,142912
2013-04-26,26.93,26.93,26.635,26.795,230,133828
2013-04-29,27.235,27.19,26.93,27.0525,258,177724
2013-04-30,27.6975,27.6,27.14,27.14,607,434324
2013-05-01,27.6,27.1675,27.1325,27.6,324,175572
2013-05-02,27.4675,27.465,27.2,27.23,301,181848
2013-05-03,28.0025,28.0,27.6775,27.715,517,511444
2013-05-06,28.375,28.33,27.9375,28.03,410,345000
2013-05-07,28.4275,28.3825,28.175,28.33,247,166952
2013-05-08,28.79,28.765,28.2775,28.405,239,194752
2013-05-09,29.025,28.835,28.745,28.745,298,191948
2013-05-10,29.15,28.9925,28.82,28.9075,379,206844
2013-05-13,29.08,29.0,28.9625,29.0025,371,240536
2013-05-14,29.1525,28.7425,28.7225,28.9625,454,250720
2013-05-15,28.39,27.9825,27.8525,28.3625,954,593412
2013-05-16,27.9825,27.63,27.6,27.9825,630,363124
2013-05-17,27.885,27.805,27.7,27.77,361,284916
2013-05-20,28.0275,27.7675,27.6675,27.8125,426,308408
2013-05-21,27.9625,27.7475,27.6425,27.79,445,265956
2013-05-22,27.855,26.805,26.655,27.7775,1022,677584
2013-05-23,26.915,26.78,26.4325,26.71,799,507016
2013-05-24,27.4575,27.26,26.5725,26.7625,1561,900004
2013-05-28,27.9075,27.735,27.42,27.47,938,615696
2013-05-29,27.78,27.6975,27.16,27.6375,585,419248
2013-05-30,28.5925,28.575,27.575,27.575,855,528484
2013-05-31,28.815,28.2525,28.2425,28.4225,600,396040
2013-06-03,28.52,28.3,28.25,28.25,722,428748
2013-06-04,28.4825,27.9575,27.925,28.3,744,504680
2013-06-05,28.08,27.75,27.6875,27.855,414,220552
2013-06-06,28.305,28.2825,27.59,27.6875,781,446288
2013-06-07,30.135,30.0,29.25,29.275,1594,967228
2013-06-10,30.685,30.4075,29.92,30.055,1040,579056
2013-06-11,30.52,30.24,29.7675,30.115,453,259080
2013-06-12,30.4875,30.1025,29.98,30.4875,422,228472
2013-06-13,30.3575,30.305,29.93,30.125,338,191388
2013-06-14,30.425,30.3825,29.9925,30.305,511,303164
2013-06-17,31.0175,30.7,30.4625,30.5425,667,357268
2013-06-18,30.8075,30.4225,30.3975,30.7725,461,272448
2013-06-19,30.55,30.1875,30.175,30.4625,400,220756
2013-06-20,29.8875,29.3275,29.24,29.8775,471,238460
2013-06-21,29.75,29.65,29.38,29.4925,483,627332
2013-06-24,29.7625,29.4625,29.26,29.37,515,281284
2013-06-25,29.7825,29.21,29.07,29.74,463,278972
2013-06-26,29.61,29.415,29.315,29.475,294,397424
2013-06-27,29.6225,29.45,29.355,29.595,758,498600
2013-06-28,30.2175,29.7625,29.245,29.425,741,739944
2013-07-01,30.26,30.2225,29.8125,29.91,470,300440
2013-07-02,30.6,30.4825,30.2125,30.24,462,246720
2013-07-03,30.4775,30.4125,30.0125,30.275,242,185912
2013-07-05,30.945,30.91,30.4525,30.64,348,299284
2013-07-08,31.16,30.835,30.805,31.0,387,271668
2013-07-09,31.0525,30.9475,30.685,30.905,318,178384
2013-07-10,31.225,31.105,30.745,31.0025,379,227768
2013-07-11,31.3775,30.925,30.9125,31.3775,362,251920
2013-07-12,31.3725,31.34,30.8675,30.9025,311,220656
2013-07-15,31.8575,31.7675,31.2025,31.295,354,285356
2013-07-16,32.0875,31.2675,31.1525,31.8475,592,407136
2013-07-17,31.6675,31.445,31.42,31.49,282,200916
2013-07-18,31.795,31.655,31.4725,31.4925,224,133268
2013-07-19,31.745,31.71,31.455,31.625,370,297100
2013-07-22,32.0775,32.0775,31.435,31.72,710,600028
2013-07-23,32.185,31.875,31.7675,32.0375,598,381104
2013-07-24,32.0225,31.7225,31.61,32.0225,327,214572
2013-07-25,31.865,31.555,31.3425,31.71,430,260524
2013-07-26,31.545,31.4475,31.175,31.545,204,132536
2013-07-29,31.585,31.43,31.025,31.3675,358,214016
2013-07-30,31.5975,31.33,31.1325,31.5975,396,379640
2013-07-31,32.045,31.8375,31.4175,31.4575,519,301992
2013-08-01,32.59,32.4025,32.0125,32.1175,545,469208
2013-08-02,32.2925,32.2625,31.9125,32.2925,267,213920
2013-08-05,32.6175,32.6175,32.09,32.1875,467,265896
2013-08-06,32.6725,32.5375,32.19,32.5,331,206448
2013-08-07,32.6875,32.535,32.25,32.5,324,208392
2013-08-08,32.9775,32.915,32.515,32.7125,322,205000
2013-08-09,33.05,32.9025,32.63,32.8,220,134128
