Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-03-26,130.53,128.44,128.07,130.53,541,78281
2013-03-27,128.68,128.44,127.17,127.29,368,54189
2013-03-28,129.86,129.86,127.97,128.76,752,218321
2013-04-01,130.4,129.54,128.97,129.44,407,68313
2013-04-02,130.11,128.09,127.77,130.11,767,115794
2013-04-03,129.26,127.49,126.88,128.19,951,144614
2013-04-04,128.08,127.62,126.66,127.77,522,74150
2013-04-05,127.2,126.45,126.05,126.46,426,87924
2013-04-08,127.51,127.41,126.14,126.54,439,61356
2013-04-09,128.35,127.81,127.46,127.8,318,81293
2013-04-10,128.15,128.13,127.16,128.04,459,82720
2013-04-11,129.33,128.69,128.12,128.27,353,62530
2013-04-12,129.21,127.99,127.84,128.62,220,43050
2013-04-15,127.7,123.65,123.58,126.5,786,134926
2013-04-16,124.71,124.67,123.35,124.5,619,103726
2013-04-17,124.52,124.44,123.31,124.44,662,106000
2013-04-18,124.96,124.15,123.28,124.64,512,82178
2013-04-19,125.89,125.85,124.45,124.8,443,78517
2013-04-22,126.19,125.38,124.61,125.76,403,62322
2013-04-23,128.55,128.04,125.74,126.1,933,142092
2013-04-24,132.62,131.38,129.44,130.25,1532,225151
2013-04-25,133.15,133.05,131.16,132.05,455,72785
2013-04-26,133.75,132.47,131.79,132.56,575,101690
2013-04-29,134.06,133.61,132.68,132.86,677,122082
2013-04-30,134.99,134.99,133.19,133.82,634,201314
2013-05-01,134.6,133.01,132.92,134.4,708,96455
2013-05-02,133.84,133.29,130.66,133.47,809,111985
2013-05-03,133.89,131.98,131.34,133.89,663,113454
2013-05-06,133.8,133.65,131.8,132.09,513,82631
2013-05-07,135.74,135.73,133.24,134.5,589,145769
2013-05-08,136.19,135.97,134.64,135.35,411,69136
2013-05-09,136.18,135.29,134.81,136.15,607,97116
2013-05-10,136.1,135.81,135.09,135.25,856,119276
2013-05-13,135.73,135.63,134.89,135.69,288,66645
2013-05-14,136.13,135.88,134.78,135.85,467,94000
2013-05-15,136.4,135.57,135.21,135.8,620,90150
