Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2024-03-27,135.0,131.25,115.0,115.0,3476,955142
2024-03-28,136.8,136.75,130.0,136.8,1877,470984
2024-04-01,144.25,142.02,137.14,142.0,1458,291690
2024-04-02,152.25,140.0,138.64,143.0,13635,4926634
2024-04-03,144.0,137.34,135.8,141.1,7419,1012587
2024-04-04,139.35,126.06,125.29,135.63,11401,1797308
2024-04-05,128.07,122.7,119.0,125.47,13431,2204666
2024-04-08,131.95,129.96,125.9,126.0,9949,2523513
2024-04-09,133.6,132.17,128.25,130.9,8526,1519138
2024-04-10,139.93,138.37,128.97,129.15,8890,1338868
2024-04-11,139.32,136.57,136.41,138.93,5004,789536
2024-04-12,138.01,134.0,133.62,135.0,3451,700423
2024-04-15,135.32,131.75,129.86,134.63,3439,539738
2024-04-16,133.04,130.07,128.26,132.5,4834,545609
2024-04-17,138.11,134.75,131.25,132.04,5226,738067
2024-04-18,138.36,137.22,135.43,137.98,4639,620690
2024-04-19,140.58,135.1,134.92,137.36,5811,922472
2024-04-22,137.14,136.69,132.14,135.52,4078,622799
2024-04-23,148.32,147.83,137.87,137.87,5382,608383
2024-04-24,149.75,146.18,144.35,147.0,5444,680689
2024-04-25,152.14,148.31,138.9,143.0,6809,860429
2024-04-26,157.24,153.07,150.21,153.64,3925,626458
2024-04-29,159.5,159.01,153.58,153.58,5763,895817
2024-04-30,163.0,153.71,152.37,158.14,5303,707480
2024-05-01,156.57,151.67,149.45,154.19,4006,567755
2024-05-02,155.44,153.83,151.76,153.53,3612,611337
2024-05-03,167.17,166.26,155.28,155.63,5146,674776
2024-05-06,171.12,169.14,164.75,167.5,4476,528650
2024-05-07,173.47,167.36,167.24,168.66,4001,451630
2024-05-08,167.0,164.0,163.3,167.0,4551,1006091
2024-05-09,168.66,166.4,164.66,165.0,3556,872869
2024-05-10,170.65,167.27,166.0,169.0,4081,616917
2024-05-13,167.35,161.53,160.28,165.0,5486,695952
2024-05-14,166.54,165.63,158.95,160.69,4470,453866
2024-05-15,172.29,167.87,167.12,168.36,3270,482044
2024-05-16,170.0,166.4,166.35,168.03,3116,359166
2024-05-17,166.88,162.62,160.99,166.88,3695,432424
2024-05-20,163.63,160.95,160.25,163.05,3244,328646
2024-05-21,164.44,163.93,159.21,160.24,3167,343471
2024-05-22,167.36,163.85,163.02,164.29,2880,335982
2024-05-23,170.0,161.67,161.48,166.42,4677,540535
2024-05-24,177.75,177.43,162.5,162.81,5728,574260
2024-05-28,182.62,178.09,176.87,178.32,4869,524012
2024-05-29,178.52,177.32,174.15,176.0,3069,383205
2024-05-30,177.7,175.08,174.55,176.97,3425,410538
