Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2017-02-01,20.42,20.0,20.0,20.1,8296,9613237
2017-02-02,20.41,20.23,20.04,20.04,1788,663085
2017-02-03,20.78,20.63,20.3,20.35,946,322435
2017-02-06,21.0,20.73,20.55,20.99,695,212111
2017-02-07,20.86,20.8,20.62,20.75,1074,1055176
2017-02-08,20.91,20.84,20.75,20.8,582,117529
2017-02-09,20.97,20.88,20.83,20.87,405,98225
2017-02-10,21.17,21.02,20.78,20.92,503,194984
2017-02-13,21.185,21.0,20.96,21.18,363,81817
2017-02-14,21.05,21.03,20.75,20.89,924,188581
2017-02-15,21.16,20.91,20.86,21.16,514,97119
2017-02-16,21.05,20.96,20.8,20.8,325,61727
2017-02-17,21.21,21.15,20.76,20.93,403,91941
2017-02-21,21.5,21.47,21.28,21.28,519,113389
2017-02-22,21.65,21.57,21.4,21.45,402,74230
2017-02-23,21.78,21.58,21.375,21.78,424,81287
2017-02-24,21.71,21.6,21.505,21.52,302,72897
2017-02-27,21.99,21.81,21.56,21.6,637,143830
2017-02-28,22.11,21.79,21.77,21.91,522,176013
2017-03-01,22.14,21.53,21.17,22.14,699,158073
2017-03-02,21.77,21.72,21.34,21.62,611,130295
2017-03-03,21.94,21.81,21.285,21.54,838,125968
2017-03-06,22.0,21.92,21.63,21.78,978,194589
2017-03-07,21.96,21.81,21.5,21.8,543,88945
2017-03-08,21.8,21.55,21.52,21.78,469,89205
2017-03-09,21.74,21.24,21.04,21.6,925,156437
2017-03-10,21.54,21.4,21.31,21.31,769,165711
2017-03-13,21.84,21.38,21.07,21.39,857,137027
2017-03-14,21.44,21.25,21.08,21.38,318,200532
2017-03-15,21.6,21.52,21.27,21.39,578,110207
2017-03-16,21.67,21.48,21.25,21.66,889,218679
2017-03-17,21.79,21.6,21.49,21.55,861,6052703
2017-03-20,21.65,21.54,21.35,21.5,793,171682
2017-03-21,21.58,21.39,21.315,21.58,550,330510
2017-03-22,21.52,21.5,21.32,21.41,773,130315
2017-03-23,21.54,21.49,21.28,21.42,626,131394
2017-03-24,21.65,21.58,21.52,21.53,328,50593
2017-03-27,21.6,21.53,21.41,21.46,561,140042
2017-03-28,21.66,21.64,21.45,21.45,583,174203
2017-03-29,21.79,21.69,21.64,21.71,459,107457
2017-03-30,21.78,21.75,21.6,21.78,401,95363
2017-03-31,21.98,21.83,21.65,21.79,1187,3106117
2017-04-03,21.85,21.63,21.58,21.85,526,124235
2017-04-04,21.85,21.54,21.45,21.8,762,277830
2017-04-05,21.66,21.58,21.45,21.66,349,107854
2017-04-06,21.81,21.7,21.46,21.49,527,167337
2017-04-07,21.84,21.61,21.59,21.76,530,98595
2017-04-10,21.76,21.64,21.6,21.6,395,96640
2017-04-11,21.69,21.55,21.43,21.69,740,137299
2017-04-12,21.66,21.55,21.42,21.48,476,85506
2017-04-13,21.63,21.29,21.19,21.62,494,132996
2017-04-17,21.9,21.67,21.19,21.26,533,122770
2017-04-18,21.81,21.77,21.62,21.62,377,96306
2017-04-19,21.85,21.75,21.68,21.77,877,175116
2017-04-20,21.825,21.49,21.4,21.68,950,187441
2017-04-21,21.755,21.66,21.18,21.43,1672,227613
2017-04-24,21.77,21.64,21.54,21.76,511,110530
2017-04-25,21.75,21.72,21.565,21.65,1142,286107
2017-04-26,21.72,21.68,21.55,21.65,758,115119
2017-04-27,21.72,21.59,21.56,21.7,594,99743
2017-04-28,21.64,21.55,21.51,21.59,448,152379
2017-05-01,21.75,21.68,21.58,21.58,474,81684
2017-05-02,21.76,21.52,21.46,21.59,582,139187
2017-05-03,21.53,21.48,21.12,21.38,643,334674
2017-05-04,21.49,21.2,21.09,21.49,816,190607
2017-05-05,21.45,21.27,21.19,21.25,527,106020
2017-05-08,21.39,21.28,21.15,21.35,682,122357
2017-05-09,21.55,21.45,21.25,21.25,543,112598
2017-05-10,21.89,21.67,21.37,21.37,1024,240539
2017-05-11,22.02,21.9,21.4,21.68,949,228457
