Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2024-03-26,96.05,80.0,79.21,91.05,473,83571
2024-03-27,80.0,75.0,74.31,80.0,473,90022
2024-03-28,78.0,69.55,69.1,78.0,861,1810264
2024-04-01,72.39,69.1,65.06,69.01,7004,4400766
2024-04-02,68.59,66.9,64.49,68.09,5383,2306694
2024-04-03,67.72,63.89,63.86,65.73,4439,1215123
2024-04-04,68.15,67.0,62.33,63.01,4918,1348016
2024-04-05,70.13,70.06,65.23,65.91,4787,986745
2024-04-08,71.62,67.01,66.25,70.06,3841,724681
2024-04-09,68.0,65.52,65.04,65.25,2852,617022
2024-04-10,64.87,63.89,63.59,64.5,2758,453385
2024-04-11,64.28,63.17,62.3,63.57,3282,738426
2024-04-12,63.24,62.75,61.88,62.5,2645,510769
2024-04-15,63.71,61.69,61.56,62.1,2700,476906
2024-04-16,62.99,61.95,61.66,62.0,2368,355223
2024-04-17,62.67,61.75,61.501,61.82,2463,431806
2024-04-18,64.11,64.03,61.38,61.84,2500,483586
2024-04-19,64.06,62.2,62.0,63.58,2132,478368
2024-04-22,62.71,62.07,61.83,62.25,2051,370085
2024-04-23,64.18,63.5,61.86,62.03,2160,345778
2024-04-24,64.1,63.54,62.78,62.85,1661,302625
2024-04-25,63.03,61.83,60.74,62.75,2781,398230
2024-04-26,64.69,64.43,61.46,61.46,1820,343431
2024-04-29,66.66,65.91,63.1,63.49,2037,380741
2024-04-30,65.86,65.01,63.75,65.21,2306,486436
2024-05-01,66.85,65.15,64.3,64.95,2890,502253
2024-05-02,66.2,65.14,64.7,65.0,2760,517042
2024-05-03,65.56,64.65,63.8,65.43,2517,410999
2024-05-06,65.09,64.69,64.34,64.7,1817,334263
2024-05-07,65.86,65.56,64.79,64.79,2318,450169
2024-05-08,66.95,66.43,65.23,65.23,2648,461145
2024-05-09,67.5,64.83,63.56,65.52,3356,511287
2024-05-10,64.79,63.74,63.05,63.66,2445,459274
2024-05-13,64.41,63.14,63.12,64.06,2310,403616
2024-05-14,65.4,65.1,63.5,63.61,4043,502010
2024-05-15,65.16,62.44,62.29,64.83,3666,559408
