Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2024-07-08,47.6,46.22,44.9,47.4,6631,37262057
2024-07-09,45.8,44.83,44.34,44.96,7520,2326583
2024-07-10,46.24,45.83,44.4,45.08,7701,2800383
2024-07-11,46.92,46.87,45.35,45.43,8186,2278838
2024-07-12,49.31,49.08,46.9,46.91,13072,17540200
2024-07-15,49.43,48.84,48.26,48.26,4274,2144698
2024-07-16,49.445,49.26,48.01,48.42,5686,1109855
2024-07-17,49.09,47.85,47.83,48.64,4858,1586075
2024-07-18,47.34,46.82,46.25,46.86,4810,1320541
2024-07-19,46.9,46.53,46.34,46.82,3458,1057482
2024-07-22,48.01,48.0,46.41,46.51,3806,1354786
2024-07-23,49.49,49.11,47.72,48.11,4316,1055810
2024-07-24,49.24,48.86,48.21,48.3,3310,806154
2024-07-25,48.505,47.69,47.58,48.42,2539,1038510
2024-07-26,49.16,48.81,47.78,47.88,3162,1440188
2024-07-29,48.53,47.55,47.52,48.44,3848,1361416
2024-07-30,47.57,46.74,46.14,47.23,3252,923036
2024-07-31,45.73,44.84,43.25,43.25,6899,1831469
2024-08-01,45.11,43.32,42.92,44.8,3968,1118025
2024-08-02,42.78,41.78,41.3,42.78,3639,1102329
2024-08-05,40.915,40.04,39.57,40.0,3663,978220
2024-08-06,40.95,40.33,40.01,40.2,2919,871332
2024-08-07,40.87,39.06,38.97,40.81,3315,951326
2024-08-08,40.08,39.31,39.0,39.0,3603,1508577
2024-08-09,39.57,38.96,38.55,38.91,3115,875810
2024-08-12,39.24,38.85,38.8,39.01,2121,1257364
2024-08-13,40.71,40.35,39.12,39.25,2955,1154981
2024-08-14,41.48,41.21,40.51,40.63,3502,1667476
2024-08-15,43.25,42.74,41.18,41.18,3764,1141968
2024-08-16,43.02,42.91,42.26,42.46,3446,1020723
2024-08-19,43.52,43.49,42.48,42.48,2315,735611
2024-08-20,43.55,43.01,42.61,43.0,3563,916641
2024-08-21,44.07,44.02,42.65,43.0,3728,1077890
2024-08-22,44.46,43.79,43.46,44.13,4224,863156
2024-08-23,45.39,45.33,44.48,44.61,4431,988208
2024-08-26,46.5,46.18,45.55,45.55,3492,2117369
2024-08-27,46.9,46.89,45.86,46.26,3001,1104931
2024-08-28,47.48,47.07,46.36,46.41,4163,1296998
2024-08-29,47.245,47.17,46.68,47.2,3583,766218
2024-08-30,47.56,47.42,46.925,47.11,3956,2620345
2024-09-03,46.56,45.7,45.41,46.36,5435,1224668
2024-09-04,46.15,45.57,45.11,45.31,3902,935196
