Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2014-06-06,3.75,3.4375,3.4375,3.453125,7335,43222384
2014-06-09,3.5625,3.45,3.438125,3.515625,692,2319520
2014-06-10,3.75,3.75,3.453125,3.453125,706,1834080
2014-06-11,3.96875,3.96875,3.683125,3.75,702,2178624
2014-06-12,4.239375,4.125,3.941875,4.05875,485,1305872
2014-06-13,4.5,4.34875,4.1875,4.275,855,2174912
2014-06-16,4.46875,4.46875,4.236875,4.449375,382,1166224
2014-06-17,4.534375,4.356875,4.32375,4.493125,210,521008
2014-06-18,4.425,4.31,4.25,4.379375,196,485136
2014-06-19,4.25625,4.104375,4.046875,4.25625,460,1104528
2014-06-20,4.269375,4.071875,4.03125,4.08125,232,619632
2014-06-23,4.1875,4.106875,4.06375,4.06375,60,134752
2014-06-24,4.164375,4.0175,4.000625,4.146875,100,241968
2014-06-25,4.04125,4.030625,3.87875,3.988125,90,155184
2014-06-26,4.050625,3.988125,3.918125,4.050625,88,164400
2014-06-27,3.994375,3.909375,3.8938125,3.994375,162,382352
2014-06-30,4.075,3.899375,3.879375,3.879375,169,600672
2014-07-01,4.790625,4.75,4.17125,4.190625,904,2672240
2014-07-02,5.021875,4.709375,4.576875,4.9025,792,2284016
2014-07-03,4.8375,4.775625,4.636875,4.7775,120,349936
2014-07-07,4.8275,4.510625,4.501875,4.8275,256,521536
2014-07-08,4.495625,4.339375,3.9475,4.495625,741,1578336
2014-07-09,4.546875,4.49375,4.125625,4.33125,200,482992
2014-07-10,4.38375,4.23375,4.208125,4.25,184,439360
2014-07-11,4.40625,4.351875,4.295,4.3325,79,219376
2014-07-14,4.5,4.309375,4.285,4.4375,78,168288
2014-07-15,4.340625,4.168125,4.14875,4.340625,135,261872
2014-07-16,4.25,4.033125,3.976875,4.25,180,570528
2014-07-17,4.090625,3.985,3.95125,3.993125,86,253760
2014-07-18,4.034375,4.0,3.965625,4.001875,131,363040
2014-07-21,4.045625,3.951875,3.94375,4.008125,141,294592
2014-07-22,4.184375,4.094375,3.96875,3.985,155,408112
2014-07-23,4.149375,4.05125,4.02625,4.118125,94,246208
2014-07-24,4.124375,4.015625,3.98625,4.069375,140,316560
2014-07-25,4.009375,3.9775,3.915,4.009375,77,209888
2014-07-28,4.0325,3.963125,3.944375,4.0325,89,220640
2014-07-29,3.999375,3.990625,3.951875,3.974375,115,206704
2014-07-30,4.24375,4.236875,4.0,4.03,455,1045776
2014-07-31,4.18625,4.1325,4.07,4.14625,182,410880
2014-08-01,4.214375,4.100625,4.07875,4.11375,204,394048
2014-08-04,4.335625,4.326875,4.11,4.124375,215,456720
2014-08-05,4.54375,4.505625,4.28,4.301875,305,630928
2014-08-06,4.525,4.42625,4.359375,4.434375,152,367648
2014-08-07,4.534375,4.51375,4.45,4.485625,262,473984
2014-08-08,4.989375,4.501875,4.4695,4.9425,1083,2625728
2014-08-11,4.578625,4.36625,4.21875,4.543125,584,1218672
2014-08-12,4.47625,4.444375,4.3425,4.3425,115,254624
2014-08-13,4.488125,4.365,4.335625,4.44625,212,458640
2014-08-14,4.4718125,4.425625,4.3,4.358125,279,482464
2014-08-15,4.46375,4.36375,4.351875,4.46375,154,277344
2014-08-18,4.460625,4.406875,4.343125,4.428125,198,430336
2014-08-19,4.6875,4.6875,4.396875,4.42125,428,1050912
2014-08-20,4.827375,4.775,4.5625,4.645625,607,1058768
2014-08-21,4.89625,4.834375,4.708125,4.7425,588,1175824
2014-08-22,4.81,4.72625,4.706875,4.780625,295,603888
2014-08-25,4.83375,4.72375,4.675625,4.753125,163,286320
2014-08-26,4.798125,4.760625,4.679375,4.715,166,289520
2014-08-27,5.215625,5.1975,4.748125,4.749375,707,1484272
2014-08-28,5.243125,5.215625,5.098125,5.185,421,791776
2014-08-29,5.3601875,5.240625,5.17125,5.305625,369,1118720
2014-09-02,5.415625,5.38125,5.275,5.335625,500,687728
2014-09-03,5.44875,5.350625,5.31375,5.4375,455,735664
2014-09-04,5.58125,5.468125,5.338125,5.338125,528,856608
2014-09-05,5.705,5.695,5.46375,5.46375,454,650384
2014-09-08,5.87125,5.47875,5.356875,5.696875,768,1364960
2014-09-09,5.5325,5.2675,5.2375,5.5,405,637632
2014-09-10,5.54875,5.546875,5.1963125,5.311875,325,603296
2014-09-11,5.66375,5.546875,5.47875,5.50625,337,613888
2014-09-12,5.555625,5.391875,5.3125,5.555625,257,407712
2014-09-15,5.496875,5.176875,5.1625,5.44375,374,729824
2014-09-16,5.33125,5.25,5.06675,5.141875,365,632320
2014-09-17,5.353125,5.219375,5.20125,5.299375,266,440128
2014-09-18,5.400625,5.383125,5.256875,5.28125,296,548128
2014-09-19,5.478125,5.478125,5.3125,5.43375,374,3331904
2014-09-22,5.540625,5.24,5.2225,5.430625,545,1003504
2014-09-23,5.394375,5.279375,5.19125,5.215,468,851264
2014-09-24,5.48375,5.444375,5.2,5.2,374,604208
2014-09-25,5.511875,5.26875,5.253125,5.419375,584,952304
2014-09-26,5.36,5.320625,5.271875,5.271875,426,959328
2014-09-29,5.855625,5.831875,5.2505,5.296875,620,1172736
2014-09-30,5.925625,5.520625,5.431875,5.8475,663,3232560
2014-10-01,5.5025,5.25375,5.20375,5.5025,521,878800
2014-10-02,5.311875,5.264375,5.0,5.278125,495,906912
2014-10-03,5.444375,5.358125,5.236875,5.353125,602,1264944
2014-10-06,5.40125,5.2925,5.18625,5.37375,403,833920
2014-10-07,5.275,5.175625,5.1425,5.195625,424,895056
2014-10-08,5.551875,5.5275,5.20375,5.268125,730,1223456
2014-10-09,5.633125,5.36375,5.2919375,5.5275,559,1045168
2014-10-10,5.419375,4.883125,4.86375,5.294375,878,1989376
2014-10-13,4.96875,4.605625,4.58875,4.91125,1017,1718384
2014-10-14,4.70875,4.595,4.39875,4.625,1331,2391984
