Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2018-04-26,31.75,31.21,28.65,28.9,8346,5910660
2018-04-27,31.5,30.52,29.75,30.76,1001,213494
2018-04-30,32.0,31.58,30.22,30.76,651,108139
2018-05-01,32.3,31.48,31.27,31.42,609,89362
2018-05-02,33.64,32.75,31.83,31.83,784,112141
2018-05-03,34.41,33.79,32.58,32.63,718,1048740
2018-05-04,34.89,34.09,33.84,33.84,406,54645
2018-05-07,34.58,33.99,33.9,34.29,459,64681
2018-05-08,34.77,32.95,32.46,34.03,489,89526
2018-05-09,34.19,33.47,33.08,33.13,482,79218
2018-05-10,33.87,33.13,32.88,33.59,745,111727
2018-05-11,34.63,34.38,33.19,33.32,299,49057
2018-05-14,37.07,36.48,33.53,34.5,583,80293
2018-05-15,37.26,36.95,36.46,37.0,407,55991
2018-05-16,37.29,37.2,35.75,37.03,272,39275
2018-05-17,38.4,38.33,36.77,37.2,554,65424
2018-05-18,38.75,36.82,36.52,38.44,689,86795
2018-05-21,36.62,35.16,34.81,36.43,1104,147080
2018-05-22,35.4,34.32,33.2,35.08,682,88685
2018-05-23,34.41,33.97,33.77,34.14,343,48506
2018-05-24,34.31,33.71,33.6,34.11,387,57103
2018-05-25,33.8,33.6,33.22,33.57,403,52313
2018-05-29,34.34,34.24,33.08,33.4,371,44898
2018-05-30,34.75,34.67,33.79,34.23,716,114481
2018-05-31,34.98,34.52,34.44,34.63,512,108526
2018-06-01,34.65,34.53,34.03,34.65,775,141171
2018-06-04,36.26,35.96,34.4,34.44,859,102548
2018-06-05,36.68,36.35,35.97,35.97,648,90945
2018-06-06,38.63,38.16,36.56,36.56,403,40548
2018-06-07,38.82,37.11,36.68,38.27,660,100453
2018-06-08,37.65,37.4,35.96,36.47,548,79195
2018-06-11,38.12,36.49,36.27,37.91,529,81628
2018-06-12,37.82,37.62,36.43,36.48,534,74719
2018-06-13,37.83,37.66,37.44,37.53,429,170251
2018-06-14,40.95,38.19,35.5,37.4,1266,278711
2018-06-15,38.82,38.45,37.26,38.15,763,875924
2018-06-18,42.46,39.78,38.36,38.36,1758,319241
2018-06-19,39.39,37.2,37.0,39.26,498,163502
2018-06-20,38.23,37.01,37.0,37.32,613,86107
2018-06-21,37.48,36.55,36.4,36.85,642,130362
2018-06-22,36.51,35.75,35.71,36.51,973,1445561
2018-06-25,35.67,34.82,34.75,35.67,698,106819
2018-06-26,35.43,35.03,34.74,34.99,429,78177
2018-06-27,35.0,34.33,34.28,35.0,705,101756
2018-06-28,34.24,34.04,33.69,34.21,475,61669
2018-06-29,34.12,33.19,33.15,33.87,484,63704
2018-07-02,33.2,32.82,32.03,33.18,600,142823
2018-07-03,33.49,33.38,32.61,32.83,492,167410
2018-07-05,34.22,33.93,33.01,33.76,665,141244
2018-07-06,34.45,33.85,33.67,34.11,542,128666
2018-07-09,34.06,32.92,32.88,33.84,704,92860
2018-07-10,33.24,33.12,32.4,32.73,1143,194335
2018-07-11,33.09,32.58,32.52,33.02,712,83447
2018-07-12,34.55,34.48,32.7,32.7,1524,112306
2018-07-13,35.5,34.66,34.38,34.4,520,68084
2018-07-16,35.33,35.12,34.52,34.52,273,33802
2018-07-17,35.56,34.89,34.75,35.14,153,20537
2018-07-18,34.96,34.9,34.51,34.81,251,24691
2018-07-19,35.27,34.84,34.66,34.9,204,30739
2018-07-20,35.54,35.03,34.73,34.8,187,24333
2018-07-23,35.4,35.06,34.71,34.87,272,28801
2018-07-24,35.54,34.96,34.16,35.34,609,60566
2018-07-25,35.0,34.72,34.61,34.9,200,25835
2018-07-26,34.95,34.92,34.43,34.56,302,21091
2018-07-27,35.09,34.02,33.9,35.09,297,113288
2018-07-30,34.0,32.08,31.57,33.79,549,64692
2018-07-31,33.14,32.76,31.725,32.28,490,39280
2018-08-01,34.2,33.57,33.0,33.0,484,71540
2018-08-02,34.87,34.81,33.3,33.44,573,58690
2018-08-03,35.58,35.5,34.75,34.83,589,61724
2018-08-06,37.33,37.23,35.63,35.81,580,69996
2018-08-07,37.75,37.24,37.15,37.39,618,69375
2018-08-08,38.05,37.64,36.21,37.18,1033,183300
2018-08-09,37.37,33.51,32.8,36.42,1922,245886
2018-08-10,35.6,35.19,33.65,34.65,1062,148452
2018-08-13,35.989,34.39,32.61,35.07,1319,134109
2018-08-14,35.71,34.53,34.15,34.53,734,53709
2018-08-15,34.26,33.84,33.63,34.1,390,54211
2018-08-16,35.13,34.75,33.94,34.0,835,91938
2018-08-17,35.01,34.07,34.0,34.56,416,45478
2018-08-20,34.64,34.04,33.49,34.19,432,49263
2018-08-21,35.14,34.74,34.19,34.45,604,62039
2018-08-22,35.57,35.35,34.69,34.72,789,78374
2018-08-23,36.645,35.98,35.31,35.31,656,68168
2018-08-24,37.97,37.84,35.96,35.96,900,111068
2018-08-27,38.56,38.45,38.03,38.19,575,96656
2018-08-28,39.13,38.65,38.0,38.5,400,79575
2018-08-29,38.91,38.29,38.27,38.83,342,50459
2018-08-30,38.95,38.56,37.87,37.87,317,36272
2018-08-31,38.64,38.5,38.19,38.64,324,37919
2018-09-04,39.27,38.63,38.15,38.34,706,72414
2018-09-05,38.49,37.0,36.9,38.46,525,56992
2018-09-06,37.66,37.51,36.31,37.16,312,29470
2018-09-07,38.64,37.72,37.15,37.42,233,28565
2018-09-10,38.52,37.53,37.46,37.76,549,72484
2018-09-11,37.8,37.38,37.22,37.52,309,28242
2018-09-12,37.44,36.54,36.49,37.42,700,49896
2018-09-13,37.76,37.18,36.8,36.8,386,34735
2018-09-14,41.73,41.45,37.36,37.36,1118,129073
2018-09-17,44.18,43.75,41.23,41.37,1671,163951
2018-09-18,44.87,44.0,43.36,43.36,1166,114537
2018-09-19,44.74,43.42,42.93,44.25,573,64191
2018-09-20,44.22,43.01,41.92,43.99,732,113911
2018-09-21,43.15,42.01,41.88,43.12,419,177851
2018-09-24,42.61,42.31,41.86,41.86,276,35917
2018-09-25,42.88,41.15,40.91,42.3,679,85288
2018-09-26,41.66,40.96,40.82,41.1,548,64356
2018-09-27,42.22,41.79,40.99,41.1,373,42286
2018-09-28,42.08,42.03,41.05,41.69,504,120587
2018-10-01,43.8,43.0,42.5,42.5,1117,143177
2018-10-02,43.33,43.0,42.71,43.0,1091,123746
2018-10-03,44.45,44.29,42.57,43.09,788,136489
2018-10-04,44.24,42.06,41.77,44.24,1060,126716
2018-10-05,42.135,40.28,39.13,42.0,1392,179564
2018-10-08,40.51,40.22,39.01,39.83,696,91276
2018-10-09,41.33,38.78,38.52,40.0,1089,162789
2018-10-10,38.67,35.7,35.51,38.56,1334,143730
2018-10-11,36.73,35.7,35.3,35.7,1412,188383
2018-10-12,37.49,36.22,35.94,36.9,772,88721
2018-10-15,37.37,37.06,35.96,36.1,894,105022
2018-10-16,39.0,38.47,36.73,37.67,551,85881
2018-10-17,39.0,37.62,36.13,38.82,1290,183099
2018-10-18,37.63,36.26,35.79,37.49,1285,121631
2018-10-19,37.73,36.27,35.83,36.4,574,75719
2018-10-22,37.74,37.19,35.96,36.27,1178,139023
2018-10-23,36.97,36.25,35.86,36.6,1453,212824
2018-10-24,37.04,35.83,35.75,35.94,701,98305
2018-10-25,36.83,36.78,35.69,36.01,842,120333
2018-10-26,37.29,36.4,35.96,36.09,1273,161587
2018-10-29,39.0,35.68,34.19,37.95,2798,409010
2018-10-30,37.32,36.47,35.0,35.43,1430,168262
2018-10-31,38.22,37.97,36.88,36.9,1223,192344
2018-11-01,38.91,38.73,37.83,38.23,1043,167619
2018-11-02,39.5,38.0,37.81,39.0,759,168010
2018-11-05,38.36,38.03,37.51,38.29,585,106467
2018-11-06,39.42,38.0,37.95,37.95,697,242526
2018-11-07,39.8,39.25,38.58,38.58,952,126866
2018-11-08,39.95,39.37,38.95,39.18,905,127841
2018-11-09,39.58,39.16,38.74,38.8,724,87978
2018-11-12,38.25,36.51,36.34,38.0,1431,221650
2018-11-13,37.015,36.17,35.11,36.24,2072,326923
2018-11-14,36.95,36.28,35.945,36.75,4379,1588736
2018-11-15,37.48,37.3,36.38,36.42,1680,218217
2018-11-16,39.26,38.96,36.99,37.0,1611,594791
2018-11-19,39.14,35.64,34.94,38.66,1658,236443
2018-11-20,36.44,36.08,33.97,35.01,977,185897
2018-11-21,37.39,36.34,36.34,36.71,869,324767
2018-11-23,37.36,37.04,36.23,36.23,532,518725
2018-11-26,38.86,38.47,37.26,37.26,930,146608
2018-11-27,39.21,38.39,37.97,38.33,524,61780
2018-11-28,39.81,39.75,37.57,38.75,854,152566
2018-11-29,40.44,40.02,39.34,39.43,886,190732
2018-11-30,40.75,40.12,39.45,40.21,450,352279
2018-12-03,41.86,39.52,38.93,41.0,730,120601
2018-12-04,39.12,37.7,37.475,39.12,584,91387
2018-12-06,38.35,38.27,36.28,36.62,746,80352
2018-12-07,39.14,38.22,38.1,38.1,827,102892
2018-12-10,39.1,37.58,37.17,38.34,451,51860
2018-12-11,38.63,36.85,36.73,38.33,628,99196
2018-12-12,37.9,37.19,37.08,37.68,682,82738
2018-12-13,37.51,36.63,36.56,37.46,654,77878
2018-12-14,36.44,35.24,35.05,36.36,937,108571
2018-12-17,35.25,33.77,33.625,34.97,812,153049
2018-12-18,35.05,34.8,34.23,34.23,847,95590
2018-12-19,35.5,34.36,33.96,34.85,1726,242186
2018-12-20,34.54,33.61,31.5,34.3,1079,137771
2018-12-21,33.69,32.13,31.62,33.69,837,321764
2018-12-24,32.97,31.97,31.5,31.79,395,47138
2018-12-26,34.63,34.56,32.15,32.15,1278,75141
2018-12-27,35.21,35.18,33.59,34.0,424,66288
2018-12-28,35.3,33.97,33.91,35.2,796,152391
2018-12-31,34.56,34.49,33.83,34.25,438,78721
2019-01-02,34.49,33.76,33.37,33.66,592,68473
2019-01-03,34.02,33.23,33.17,33.82,926,114336
2019-01-04,34.71,34.39,33.78,33.78,510,73175
2019-01-07,36.0,35.91,34.5,34.5,445,63936
2019-01-08,36.0,35.95,35.65,35.77,915,112860
2019-01-09,35.98,35.62,35.46,35.88,324,39426
2019-01-10,36.24,36.18,35.0,35.33,455,84355
2019-01-11,36.19,35.95,35.61,36.19,270,28114
2019-01-14,35.83,35.6,34.7,35.71,337,39292
2019-01-15,37.26,36.64,35.58,35.85,574,59055
2019-01-16,37.38,36.87,36.74,36.83,529,46078
2019-01-17,37.69,37.39,36.51,36.51,521,60850
2019-01-18,38.47,38.23,37.61,37.9,653,69951
2019-01-22,38.5,37.6,37.24,37.79,397,45593
2019-01-23,38.51,37.61,37.06,37.86,475,54697
2019-01-24,38.97,38.89,37.6,37.6,687,82285
2019-01-25,39.94,39.4,38.89,39.0,491,53468
2019-01-28,39.68,39.62,38.68,39.0,260,35812
2019-01-29,39.77,39.27,39.18,39.62,583,63434
2019-01-30,40.79,40.61,39.16,39.54,460,65933
2019-01-31,41.74,41.21,40.46,40.68,764,96354
2019-02-01,41.69,41.37,40.38,41.03,630,73544
2019-02-04,42.35,42.16,41.17,41.78,607,79996
2019-02-05,43.745,43.55,42.2,42.21,705,88788
2019-02-06,46.09,46.04,43.35,43.35,1136,159908
2019-02-07,45.34,43.44,43.22,44.54,1605,200169
2019-02-08,44.93,44.91,43.21,43.52,818,145144
2019-02-11,45.44,45.13,44.99,45.0,602,83683
2019-02-12,46.38,45.46,45.095,45.36,649,88444
2019-02-13,45.88,45.36,45.03,45.67,783,108924
2019-02-14,45.97,45.6,44.63,45.14,403,88587
2019-02-15,45.99,45.76,45.31,45.95,351,46141
2019-02-19,46.72,46.59,45.52,45.76,490,60790
2019-02-20,47.62,47.53,46.56,46.59,768,102254
2019-02-21,48.48,47.62,47.26,47.26,835,95012
2019-02-22,48.4,48.4,47.39,47.94,565,76205
2019-02-25,49.39,48.7,48.34,48.51,521,69109
2019-02-26,49.04,48.97,48.02,48.49,617,59163
2019-02-27,50.01,49.51,48.7,48.77,515,74515
2019-02-28,49.43,49.02,48.74,49.32,628,89094
2019-03-01,49.49,49.38,48.82,49.49,786,101911
2019-03-04,49.68,47.68,47.43,49.62,826,116524
2019-03-05,48.23,47.67,47.2,47.6,822,112954
2019-03-06,48.49,48.17,47.32,47.76,927,123412
2019-03-07,48.4,48.27,47.8,48.09,452,51027
2019-03-08,48.98,48.9,47.58,47.75,500,88959
2019-03-11,49.5,49.27,48.41,48.82,806,92745
2019-03-12,49.86,49.65,49.18,49.41,259,36361
2019-03-13,50.25,49.67,49.65,49.86,738,75373
2019-03-14,50.86,50.29,49.68,49.75,552,81092
2019-03-15,51.75,51.38,50.21,50.49,835,263749
2019-03-18,50.65,49.84,49.07,50.65,1927,218866
2019-03-19,51.24,50.81,49.77,50.5,1284,147657
2019-03-20,50.61,49.93,49.25,50.5,4964,1758835
2019-03-21,50.33,50.33,49.74,49.77,1116,182137
2019-03-22,50.6,49.6,49.42,50.07,2021,609849
2019-03-25,50.13,49.72,49.18,49.18,1391,194548
2019-03-26,50.43,50.14,49.85,50.07,696,76959
2019-03-27,50.37,49.75,48.7,50.02,907,139694
2019-03-28,50.24,50.15,49.15,49.82,712,117230
