Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2022-12-15,63.0,60.0,60.0,63.0,36,85383
2022-12-16,66.0,56.74,55.0,66.0,32,6131
2022-12-19,58.99,56.5,53.0,53.0,35,4703
2022-12-20,58.0,56.09,56.09,57.72,122,10366
2022-12-21,66.0,56.96,56.545,60.18,105,12329
2022-12-22,59.11,57.6,57.0,58.43,269,40565
2022-12-23,58.5,57.49,57.45,58.09,99,18259
2022-12-27,58.49,57.44,57.375,57.98,37,4105
2022-12-28,58.0,57.5,57.46,57.93,234,26860
2022-12-29,58.66,58.0,57.98,58.5,795,101868
2022-12-30,59.0,58.38,57.75,58.74,675,70364
2023-01-03,60.68,56.0,55.91,60.68,2104,362265
2023-01-04,60.68,60.49,53.54,54.13,23621,11454595
2023-01-05,62.97,59.0,58.15,60.64,20822,2306626
2023-01-06,59.7,58.95,57.96,59.68,13391,1541319
2023-01-09,59.98,58.1,57.75,58.79,13705,1338760
2023-01-10,60.05,60.0,58.07,59.0,15392,1944163
2023-01-11,66.38,64.99,60.09,60.44,23412,2074970
2023-01-12,66.52,65.65,63.66,66.09,15473,1505556
2023-01-13,65.49,65.44,63.75,65.0,8959,885144
2023-01-17,65.52,63.33,63.29,63.94,9631,882200
2023-01-18,63.5,62.08,61.99,63.2,9041,756329
2023-01-19,64.5,63.94,61.31,61.33,6850,726672
2023-01-20,67.765,66.77,63.54,63.96,10093,1147478
2023-01-23,69.9,69.52,66.82,67.2,11430,1031302
2023-01-24,70.61,69.6,68.78,69.03,7563,715752
2023-01-25,69.68,68.71,66.95,68.46,7138,579835
2023-01-26,69.45,69.22,67.82,68.51,4410,400023
2023-01-27,70.5,70.08,68.49,68.86,6890,594069
2023-01-30,73.95,71.5,67.92,68.41,11283,1229752
2023-01-31,71.01,69.52,68.5,71.01,8704,776288
2023-02-01,70.61,70.01,67.54,69.0,8819,761064
2023-02-02,71.84,70.65,69.04,69.59,7903,677105
2023-02-03,70.63,70.55,69.1,69.6,9021,943011
2023-02-06,72.31,71.86,69.54,69.91,9697,715013
