Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2023-05-04,26.97,26.9,25.25,25.53,25143,29643036
2023-05-05,27.03,26.5,26.21,26.66,6229,1903142
2023-05-08,26.85,26.51,25.91,26.33,4726,1276244
2023-05-09,26.8,26.28,26.08,26.51,4053,769368
2023-05-10,26.77,26.25,26.01,26.28,2794,1198966
2023-05-11,26.32,26.0,26.0,26.03,2945,839775
2023-05-12,26.61,26.5,25.9,26.02,2537,1178378
2023-05-15,27.79,27.5,26.5,26.5,4443,1247262
2023-05-16,27.76,27.03,27.0,27.5,2775,758580
2023-05-17,27.69,27.22,26.65,27.3,2199,481380
2023-05-18,27.3,27.04,26.7,27.22,1450,547449
2023-05-19,27.25,27.23,26.69,27.04,1527,333291
2023-05-22,27.41,26.07,25.96,27.33,4874,1347167
2023-05-23,26.24,26.0,25.81,26.01,1367,323486
2023-05-24,26.53,26.45,25.9,26.01,1351,354911
2023-05-25,26.6,26.33,25.91,26.5,993,195184
2023-05-26,26.43,26.3,26.2,26.43,786,188804
2023-05-30,26.47,25.73,25.13,26.28,3533,1066469
2023-05-31,25.62,25.09,25.0,25.62,2777,979303
2023-06-01,25.64,25.28,24.81,25.3,2621,750490
2023-06-02,25.69,25.55,24.99,25.26,1573,324267
2023-06-05,25.77,25.15,24.84,25.58,2449,782744
2023-06-06,25.38,25.17,24.9,25.0,1510,302494
2023-06-07,25.25,25.08,24.95,25.1,1074,223850
2023-06-08,25.16,25.11,24.81,24.99,1092,412303
2023-06-09,25.15,25.1,24.85,25.05,1650,395512
2023-06-12,25.2,25.02,24.75,25.01,1887,539265
2023-06-13,25.22,25.13,24.97,24.99,1853,414556
2023-06-14,25.49,25.34,25.12,25.13,1852,514437
2023-06-15,25.95,25.75,25.21,25.4,1274,253814
2023-06-16,26.26,26.25,25.85,25.85,1592,609698
2023-06-20,26.38,26.06,25.95,25.95,1135,324045
2023-06-21,26.7,26.2,25.77,26.19,1713,470409
2023-06-22,26.6,26.55,26.2,26.2,845,318464
2023-06-23,26.74,26.48,26.27,26.55,1731,889786
2023-06-26,26.59,26.15,26.03,26.59,1291,309057
2023-06-27,26.04,25.89,25.2,26.0,2439,875448
2023-06-28,26.02,25.8,25.67,25.9,1672,571281
2023-06-29,26.22,25.99,25.74,25.74,1218,526115
2023-06-30,26.66,26.42,26.04,26.04,2745,936353
2023-07-03,26.6,26.04,25.8,26.31,884,201357
2023-07-05,26.24,25.7,25.62,25.91,1148,329022
2023-07-06,25.8,25.62,25.38,25.55,1903,603549
2023-07-07,25.64,25.22,25.21,25.62,1134,696804
2023-07-10,25.52,25.25,25.11,25.31,2551,499898
2023-07-11,25.55,25.08,25.01,25.48,5070,717852
2023-07-12,25.37,25.25,24.96,25.27,4647,971003
2023-07-13,25.5,25.4,24.89,25.42,2431,535871
2023-07-14,25.61,24.94,24.725,25.53,3326,687254
2023-07-17,25.06,24.89,24.74,24.9,1202,263221
2023-07-18,25.02,24.81,24.75,24.75,1926,466509
2023-07-19,25.04,25.0,24.5,24.88,2769,549264
2023-07-20,24.6,24.51,22.49,23.96,17047,5233474
2023-07-21,24.88,24.01,23.79,24.65,6053,2079714
2023-07-24,24.4,24.16,23.13,23.19,14546,3726897
2023-07-25,25.12,25.12,24.15,24.34,7036,2457922
2023-07-26,25.2,24.69,24.285,25.09,6975,1674995
2023-07-27,25.0,24.24,23.97,25.0,8917,2967111
2023-07-28,24.43,24.4,24.05,24.23,5053,3832799
2023-07-31,24.06,23.68,23.495,24.01,9018,2273808
2023-08-01,23.75,23.65,23.38,23.48,6808,2063698
2023-08-02,23.92,23.9,23.38,23.55,5942,2336853
2023-08-03,24.43,23.99,23.755,24.03,7776,2876568
2023-08-04,24.02,23.53,23.29,24.02,7930,2963855
