Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-03-26,4.127000000000001,4.116,4.087,4.109000000000001,2989,4636670
2013-03-27,4.1000000000000005,4.089,4.045000000000001,4.0840000000000005,3577,5303210
2013-03-28,4.1535,4.146,4.074000000000001,4.089,3484,7216630
2013-04-01,4.134,4.08,4.071000000000001,4.134,3180,4625480
2013-04-02,4.12,4.069,4.05,4.091,3676,5626380
2013-04-03,4.109000000000001,4.047,4.0200000000000005,4.0680000000000005,4877,7095830
2013-04-04,4.13,4.123,4.0360000000000005,4.044,4225,6347140
2013-04-05,4.096,4.077000000000001,4.014,4.061,3417,5087470
2013-04-08,4.1275,4.125,4.035,4.086,2066,3104700
2013-04-09,4.149,4.116,4.077000000000001,4.135000000000001,4546,7052250
2013-04-10,4.2135,4.206,4.116,4.119,3006,4697050
2013-04-11,4.377000000000001,4.28,4.258,4.269,6949,11167960
2013-04-12,4.255,4.181,4.138000000000001,4.241,4915,7310800
2013-04-15,4.1659999999999995,4.042000000000001,4.033,4.147,6023,8925120
2013-04-16,4.152,4.147,3.9939999999999998,4.054,6105,9272140
2013-04-17,4.232,4.15,4.123,4.133,9201,13898390
2013-04-18,4.2,4.128,4.112,4.181,6608,9351990
2013-04-19,4.192,4.163,4.083,4.137,4057,6299400
2013-04-22,4.2250000000000005,4.184,4.069,4.1659999999999995,5906,7793590
2013-04-23,4.3,4.252000000000001,4.192,4.220000000000001,5883,8623590
2013-04-24,4.324000000000001,4.301,4.244,4.244,3957,5918850
2013-04-25,4.672,4.562,4.4,4.4,9998,18744070
2013-04-26,4.638000000000001,4.567,4.518,4.546,7103,12561040
2013-04-29,4.587,4.558,4.542000000000001,4.57,5956,8943750
2013-04-30,4.639,4.622,4.542000000000001,4.557,6221,11943060
2013-05-01,4.614,4.5600000000000005,4.544,4.595000000000001,5656,7860670
2013-05-02,4.635000000000001,4.565,4.547,4.598,4862,7343910
2013-05-03,4.6450000000000005,4.601,4.588,4.602,3926,7664840
2013-05-06,4.65,4.628,4.582,4.616,3952,5966860
2013-05-07,4.64,4.6049999999999995,4.563000000000001,4.627000000000001,3644,5670030
2013-05-08,4.71,4.681,4.5680000000000005,4.585,5032,7574760
2013-05-09,4.7385,4.723,4.654,4.654,3424,5197540
2013-05-10,4.739,4.692,4.679,4.715,2704,4003000
2013-05-13,4.71,4.6930000000000005,4.655,4.6979999999999995,3182,5008620
2013-05-14,4.768,4.752000000000001,4.682,4.687,3303,5242320
2013-05-15,4.837,4.8180000000000005,4.724,4.729,4181,6173230
2013-05-16,4.825,4.7540000000000004,4.7490000000000006,4.8100000000000005,3921,5264100
2013-05-17,4.8100000000000005,4.804,4.776,4.777,2821,5105500
2013-05-20,4.825,4.794,4.769,4.783,3421,4848180
2013-05-21,4.812,4.792000000000001,4.773,4.797,2015,3058920
2013-05-22,4.814,4.695,4.663,4.795000000000001,4432,6664100
2013-05-23,4.695,4.681,4.634,4.659000000000001,3360,4469060
2013-05-24,4.675,4.6610000000000005,4.616,4.636,2318,3300510
2013-05-28,4.779,4.752000000000001,4.654,4.720000000000001,2934,4837140
2013-05-29,4.761,4.675,4.636,4.711,3371,4695900
2013-05-30,4.799,4.7700000000000005,4.681,4.696000000000001,2890,4286690
2013-05-31,4.777,4.678,4.678,4.746,2723,6683870
2013-06-03,4.9110000000000005,4.825,4.74,4.75,7027,11773370
2013-06-04,4.827000000000001,4.798,4.737,4.813000000000001,4767,6134170
2013-06-05,4.808,4.728000000000001,4.723,4.7780000000000005,3088,5768670
2013-06-06,4.771,4.737,4.684,4.74,2438,3607620
2013-06-07,4.8500000000000005,4.84,4.7540000000000004,4.763000000000001,2483,3757630
2013-06-10,4.868,4.853000000000001,4.822,4.836,1824,2880960
2013-06-11,4.8100000000000005,4.686,4.683,4.7780000000000005,2997,4685990
2013-06-12,4.759,4.638000000000001,4.621,4.742,3767,5997300
2013-06-13,4.769,4.746,4.612,4.613,3494,4921720
2013-06-14,4.7909999999999995,4.708,4.701,4.756,1867,2602690
2013-06-17,4.797,4.727,4.695,4.74,3103,4048790
2013-06-18,4.769,4.768,4.722,4.722,2217,3616690
2013-06-19,4.827000000000001,4.711,4.711,4.773,3184,4195960
2013-06-20,4.651,4.481000000000001,4.45,4.646,7050,10541430
2013-06-21,4.525,4.5,4.449000000000001,4.509,4270,8385410
2013-06-24,4.464,4.351,4.335,4.458,6464,8663690
2013-06-25,4.549,4.517,4.404,4.434,6271,8979220
2013-06-26,4.585,4.464,4.4159999999999995,4.578,5834,8231190
2013-06-27,4.515,4.484000000000001,4.4750000000000005,4.492,3786,5850770
2013-06-28,4.491,4.434,4.412,4.453,4272,8725990
2013-07-01,4.486,4.421,4.4105,4.4590000000000005,4625,6834330
2013-07-02,4.564,4.472,4.421,4.426,7202,10112420
2013-07-03,4.54,4.525,4.413,4.420000000000001,3089,4217250
2013-07-05,4.6000000000000005,4.598,4.534000000000001,4.564,3199,4535260
2013-07-08,4.621,4.565,4.542000000000001,4.6049999999999995,4866,7394190
2013-07-09,4.762,4.747,4.564,4.618,7730,12202880
2013-07-10,4.969,4.952000000000001,4.760000000000001,4.760000000000001,9763,13663630
2013-07-11,5.03,4.997,4.93,4.99,6042,8869460
2013-07-12,5.058,5.043,4.993,5.0,3028,4539670
2013-07-15,5.055,4.961,4.956,5.051,3463,5092800
2013-07-16,4.984000000000001,4.954000000000001,4.9205000000000005,4.952000000000001,2891,5018640
2013-07-17,5.035,4.996,4.976,5.005,3287,4764330
2013-07-18,5.018000000000001,4.99,4.941,4.998,2980,3760620
2013-07-19,5.061,5.059000000000001,4.962,4.988,3697,6446240
2013-07-22,5.078,4.994,4.971,5.077000000000001,3136,4597780
2013-07-23,5.095000000000001,5.005,4.9995,5.07,3357,4747810
2013-07-24,5.058,4.904,4.889,5.054,3096,4937550
2013-07-25,4.921500000000001,4.916,4.857,4.869,3840,5340210
2013-07-26,4.962,4.947,4.878,4.8950000000000005,3367,4597360
