Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2023-09-27,83.9,80.6,77.25,77.25,617,158133
2023-09-28,86.9,84.65,81.02,81.5,993,374520
2023-09-29,86.99,84.56,84.51,86.0,735,99319
2023-10-02,88.99,85.12,81.53,83.11,5902,10961177
2023-10-03,83.24,77.05,76.03,82.3,6206,1792775
2023-10-04,80.62,77.8,76.45,76.89,5864,1312973
2023-10-05,76.51,74.45,72.65,76.0,8988,2366537
2023-10-06,78.47,77.98,73.5,74.0,4806,1069517
2023-10-09,78.0,74.61,73.76,76.65,4504,739893
2023-10-10,75.5,75.0,72.57,73.96,3541,957716
2023-10-11,76.44,74.47,73.61,74.44,2969,824809
2023-10-12,75.23,74.23,72.75,73.75,2502,668355
2023-10-13,73.47,71.85,70.5,73.25,4710,1014032
2023-10-16,74.8,74.21,71.62,71.62,3343,748368
2023-10-17,75.115,74.48,73.02,73.02,2051,450215
2023-10-18,73.87,72.45,72.34,73.5,1837,503007
2023-10-19,72.55,70.29,69.97,71.97,2837,596158
2023-10-20,70.59,69.93,68.92,70.4,2232,608244
2023-10-23,72.41,71.9,68.0,68.09,2477,495856
2023-10-24,73.6,72.01,71.81,72.29,2183,574383
2023-10-25,72.26,70.79,69.79,71.3,2306,501470
2023-10-26,72.03,70.0,66.15,66.43,3093,679818
2023-10-27,69.44,67.99,67.76,68.64,2335,446741
2023-10-30,69.33,68.36,67.42,68.96,2055,463265
2023-10-31,69.49,69.0,67.72,68.95,2380,932624
2023-11-01,69.16,67.51,67.47,68.34,2459,612307
2023-11-02,70.54,70.28,66.71,67.9,2878,559182
2023-11-03,71.045,70.8,69.11,70.47,2075,357129
2023-11-06,70.0,68.26,68.085,69.75,2574,704811
2023-11-07,70.24,70.07,67.65,67.75,1971,581962
2023-11-08,70.31,69.8,69.57,69.99,1552,480349
2023-11-09,70.32,69.63,69.555,69.7,1693,647465
2023-11-10,70.78,70.55,69.5,69.69,1561,427908
2023-11-13,73.19,72.98,70.28,70.28,3440,666628
2023-11-14,74.1,73.63,73.05,73.85,3335,620161
2023-11-15,74.63,73.91,73.12,73.47,4098,1162626
2023-11-16,73.0,70.88,70.61,72.74,3771,565742
2023-11-17,71.26,70.99,70.06,70.9,2310,549696
2023-11-20,71.25,70.76,70.62,71.0,2711,531714
2023-11-21,72.775,72.31,70.76,70.8,2444,465934
