Instrument,Company Common Name,Ticker Symbol
POOL.OQ,Pool Corp,POOL
CHRW.OQ,CH Robinson Worldwide Inc,CHRW
AJG.N,Arthur J. Gallagher & Co.,AJG
CNP.N,CenterPoint Energy Inc,CNP
AMCR.N,Amcor PLC,AMCR
WM.N,Waste Management Inc,WM
BA.N,Boeing Co,BA
FOX.OQ,Fox Corp,FOX
WY.N,Weyerhaeuser Co,WY
MCD.N,McDonald's Corp,MCD
HD.N,Home Depot Inc,HD
SPG.N,Simon Property Group Inc,SPG
HBAN.OQ,Huntington Bancshares Inc,HBAN
LVS.N,Las Vegas Sands Corp,LVS
CTRA.N,Coterra Energy Inc,CTRA
ON.OQ,ON Semiconductor Corp,ON
AIG.N,American International Group Inc,AIG
AIZ.N,Assurant Inc,AIZ
CARR.N,Carrier Global Corp,CARR
EVRG.OQ,Evergy Inc,EVRG
SMCI.OQ,Super Micro Computer Inc,SMCI
COST.OQ,Costco Wholesale Corp,COST
MCO.N,Moody's Corp,MCO
DIS.N,Walt Disney Co,DIS
LULU.OQ,Lululemon Athletica Inc,LULU
PAYX.OQ,Paychex Inc,PAYX
AMD.OQ,Advanced Micro Devices Inc,AMD
REG.OQ,Regency Centers Corp,REG
DHI.N,DR Horton Inc,DHI
TRV.N,Travelers Companies Inc,TRV
MOS.N,Mosaic Co,MOS
BWA.N,Borgwarner Inc,BWA
WDC.OQ,Western Digital Corp,WDC
VTR.N,Ventas Inc,VTR
IVZ.N,Invesco Ltd,IVZ
ZBRA.OQ,Zebra Technologies Corp,ZBRA
AMAT.OQ,Applied Materials Inc,AMAT
STX.OQ,Seagate Technology Holdings PLC,STX
FDS.N,Factset Research Systems Inc,FDS
KVUE.N,Kenvue Inc,KVUE
SYK.N,Stryker Corp,SYK
DELL.N,Dell Technologies Inc,DELL
VRSN.OQ,"VeriSign, Inc",VRSN
TECH.OQ,Bio-Techne Corp,TECH
NVR.N,NVR Inc,NVR
JBL.N,Jabil Inc,JBL
LOW.N,Lowe's Companies Inc,LOW
BSX.N,Boston Scientific Corp,BSX
SYY.N,Sysco Corp,SYY
FCX.N,Freeport-McMoRan Inc,FCX
MAS.N,Masco Corp,MAS
BEN.N,Franklin Resources Inc,BEN
META.OQ,Meta Platforms Inc,META
PAYC.N,Paycom Software Inc,PAYC
EXPE.OQ,Expedia Group Inc,EXPE
RJF.N,Raymond James Financial Inc,RJF
CL.N,Colgate-Palmolive Co,CL
VICI.N,VICI Properties Inc,VICI
CE.N,Celanese Corp,CE
UNH.N,Unitedhealth Group Inc,UNH
ARE.N,Alexandria Real Estate Equities Inc,ARE
GEN.OQ,Gen Digital Inc,GEN
LLY.N,Eli Lilly and Co,LLY
DAY.N,Dayforce Inc,DAY
GRMN.N,Garmin Ltd,GRMN
PODD.OQ,Insulet Corp,PODD
ISRG.OQ,Intuitive Surgical Inc,ISRG
AVB.N,AvalonBay Communities Inc,AVB
TPR.N,Tapestry Inc,TPR
CBRE.N,CBRE Group Inc,CBRE
CINF.OQ,Cincinnati Financial Corp,CINF
WMB.N,Williams Companies Inc,WMB
EA.OQ,Electronic Arts Inc,EA
TMUS.OQ,T-Mobile US Inc,TMUS
CB.N,Chubb Ltd,CB
TXN.OQ,Texas Instruments Inc,TXN
MDLZ.OQ,Mondelez International Inc,MDLZ
BRO.N,Brown & Brown Inc,BRO
BALL.N,Ball Corp,BALL
PFG.OQ,Principal Financial Group Inc,PFG
KEYS.N,Keysight Technologies Inc,KEYS
PCG.N,PG&E Corp,PCG
RL.N,Ralph Lauren Corp,RL
JPM.N,JPMorgan Chase & Co,JPM
TTWO.OQ,Take-Two Interactive Software Inc,TTWO
CDW.OQ,CDW Corp,CDW
RMD.N,Resmed Inc,RMD
LNT.OQ,Alliant Energy Corp,LNT
COO.OQ,Cooper Companies Inc,COO
CMG.N,Chipotle Mexican Grill Inc,CMG
PCAR.OQ,Paccar Inc,PCAR
GNRC.N,Generac Holdings Inc,GNRC
CHTR.OQ,Charter Communications Inc,CHTR
PWR.N,Quanta Services Inc,PWR
CCL.N,Carnival Corp,CCL
PM.N,Philip Morris International Inc,PM
SNA.N,Snap-On Inc,SNA
UAL.OQ,United Airlines Holdings Inc,UAL
ESS.N,Essex Property Trust Inc,ESS
KHC.OQ,Kraft Heinz Co,KHC
BLDR.N,Builders FirstSource Inc,BLDR
JBHT.OQ,J B Hunt Transport Services Inc,JBHT
CMI.N,Cummins Inc,CMI
PNR.N,Pentair PLC,PNR
CRL.N,Charles River Laboratories International Inc,CRL
DECK.N,Deckers Outdoor Corp,DECK
HPQ.N,HP Inc,HPQ
ROP.OQ,Roper Technologies Inc,ROP
LW.N,Lamb Weston Holdings Inc,LW
TGT.N,Target Corp,TGT
NTAP.OQ,NetApp Inc,NTAP
OXY.N,Occidental Petroleum Corp,OXY
IR.N,Ingersoll Rand Inc,IR
TER.OQ,Teradyne Inc,TER
WAB.N,Westinghouse Air Brake Technologies Corp,WAB
NOW.N,ServiceNow Inc,NOW
EXC.OQ,Exelon Corp,EXC
BR.N,Broadridge Financial Solutions Inc,BR
EMN.N,Eastman Chemical Co,EMN
AZO.N,Autozone Inc,AZO
TEL.N,TE Connectivity PLC,TEL
FRT.N,Federal Realty Investment Trust,FRT
