year,company_ric,storyId,versionCreated,headline,newsText
2024,AMCR.N,urn:newsml:reuters.com:20241211:nL4N3NC1H0:1,2024-12-11 19:17:23.000,BUZZ-BofA adjusts ratings on packaging and paper companies,"** BofA adjusts ratings of packaging and paper companies
Amcor <AMCR.N>,<485.F>, Ardagh <AMBP.N> and Sylvamo <SLVM.N> 
    ** Brokerage upgrades Amcor to ""buy"" from ""underperform""
    ** Expects more relative return and growth catalysts; says
pending merger with Berry <BERY.N> is interesting and does not
see significant regulatory approval risk
    ** BofA says after rip-roaring market move post-election,
investors may have more appetite for defensive stocks such as
MCR
    ** Downgrades Ardagh to ""underperform"" from ""buy""; cuts
price objective to $4 from $4.90
    ** Brokerage says volumes could remain muted on
customer-specific trends in Brazil through Q1, despite
improvements since late Q3
    ** BofA downgrades Sylvamo to ""underperform"" from ""neutral""
    ** Says trends are currently solid and has price increase
baked into forecasts, but sees demand decline for copy paper
    ** Notes co is doing well with its Project Horizon
cost-reduction initiative, though pulling forward some 2025
benefits into 2024
    ** Including session's moves, AMCR and SLVM stocks have
risen 4% and 82%, respectively, this year, while AMBP is down
16%

 (Reporting by Neil J Kanatt in Bengaluru)
 ((Neil.JKanatt@thomsonreuters.com;))"
2024,AMCR.N,urn:newsml:reuters.com:20241210:nFWN3NB1KF:1,2024-12-10 20:32:31.000,BRIEF-Ancora Holdings Group Says Combination Of Amcor And Berry Global Creates Compelling Investment Opportunity,"Dec 10 (Reuters) - Ancora Holdings Group:
    * ANCORA HOLDINGS GROUP SAYS COMBINATION OF AMCOR AND BERRY
GLOBAL
CREATES A COMPELLING INVESTMENT OPPORTUNITY

Source text: [ID:nBw83ZQp8a]

 ((Reuters.Briefs@thomsonreuters.com;))"
2024,AMCR.N,urn:newsml:reuters.com:20241210:nFWN3NB1KF:1,2024-12-10 20:30:41.666,ANCORA HOLDINGS GROUP SAYS COMBINATION OF AMCOR AND BERRY GLOBAL CREATES A COMPELLING INVESTMENT OPPORTUNITY,"Dec 10 (Reuters) - Ancora Holdings Group:
    * ANCORA HOLDINGS GROUP SAYS COMBINATION OF AMCOR AND BERRY
GLOBAL
CREATES A COMPELLING INVESTMENT OPPORTUNITY

Source text: [ID:nBw83ZQp8a]

 ((Reuters.Briefs@thomsonreuters.com;))"
2024,AMCR.N,urn:newsml:reuters.com:20241209:nL4N3NA0Y0:7,2024-12-09 15:57:52.000,UPDATE 2-Apollo-owned Novolex to take packaging products maker Pactiv private in $6.7 bln deal,"(Adds details and background in paragraphs 5-10)
       Dec 9 (Reuters) - Packaging firm Novolex will buy rival
Pactiv Evergreen <PTVE.O> in a $6.7 billion deal, as the Apollo
Global Management-owned <APO.N> firm looks to bolster its
business of food and beverage packaging in a cautious economic
environment.
    Novolex will offer $18 per share to take Pactiv private in
an all-cash transaction, including debt, the companies said on
Monday. 
    The deal represents a 32.4% premium to Pactiv's closing
price on Dec. 2, a day before Bloomberg News first reported that
Novolex was considering purchasing the company.
    Shares of Pactiv, which sells its products to restaurants,
retailers, food and beverage producers, packers and processors,
jumped about 19%.
    Packaging firms have been scouting for deals as easing
demand following a boom fueled by e-commerce during the pandemic
sparked consolidation in the sector.
    Last month, Switzerland-based Amcor <485.F> <AMCR.N> agreed
to buy U.S. peer Berry Global <BERY.N> for $8.4 billion.
International Paper <IP.N> said in April it would buy British
paper and packaging firm DS Smith <SMDS.L>.
    Lower sales volumes in the food and beverage merchandising
segment even led to a decline in Pactiv's third-quarter revenue
last month. The company also reported a loss during the period,
hurt by a rise in raw material costs.
    The Novolex-Pactiv deal, supported by funds managed by
affiliates of Apollo and Canada Pension Plan Investment Board,
would allow the merged company to deliver 250 brands, along with
expanded distribution, across the U.S., Canada and Mexico.
    The combined firm will be led by Novolex Chairman and CEO
Stan Bikulege.
    Barclays Bank, Morgan Stanley and RBC Capital Markets are
the financial advisers to Novolex, while Goldman Sachs and
Lazard Freres are advisers to Pactiv.

 (Reporting by Anuja Bharat Mistry in Bengaluru; Editing by
Shilpi Majumdar)
 ((AnujaBharat.Mistry@thomsonreuters.com))"
2024,AMCR.N,urn:newsml:reuters.com:20241120:nL8N3MR0KI:2,2024-11-20 14:49:37.000,BREAKINGVIEWS-Amcor’s cheap packaging deal hides a fragile item,"(The author is a Reuters Breakingviews columnist.  The opinions
expressed are her own.  Updates to add graphic.)
    By Karen Kwok
       LONDON, Nov 20 (Reuters Breakingviews) - Amcor’s
<AMCR.N> $8.4 billion purchase of U.S. rival Berry Global
<BERY.N> may test the limits of packaging M&A. The all-share
deal revealed on Tuesday involves a paper-thin premium, low
valuation and plenty of cost savings. But the Swiss-based
acquirer’s investors have showed little enthusiasm for the deal,
with its shares declining 3% on the day. The target’s debt and
sluggish business may explain why.
    On the surface, the deal more than stacks up for Amcor’s
shareholders. The group run by Peter Konieczny has agreed to pay
a premium of less than 10% for Berry, in an all-share deal that
leaves its shareholders with 63% of the combined company.
Including net debt, the $15.7 billion offer values Berry at 7.6
times the EBITDA analysts expected it to generate in 2025, using
LSEG data. That’s below Amcor’s own 10.1 times multiple. On
average historical packaging deals transact at 8.7 times,
according to Capstone Partners data.
    The two companies expect just below $600 million of funding
and cost savings. Taxed at 22% and capitalised using a 10%
discount rate, the present value of Amcor shareholders’ 63%
share is $2.6 billion, comfortable exceeding the $750 million
premium they are paying. Add the savings to 2027 forecast EBIT
of $1.2 billion, again using LSEG data, take off tax, and the
return on invested capital will be roughly 9%, above the
sector’s likely 7% cost of capital. That’s before factoring in
any of the revenue synergies Amcor is also touting.
    Yet the deal also brings headaches, not least the complexity
of a large integration. Analysts expect Berry’s revenue to drop
2% on average each year through 2027, using LSEG data, relative
to the average 5% growth estimated in the sector, according to
analysts’ estimates provided by LSEG. Berry’s $7.2 billion of
net debt, which was just below 4 times EBITDA last year, is
another bother.
    And the combined group will still have to grapple with the
broader challenges faced by the packaging sector: the growth
spurt from pandemic-era online shopping has faded, and companies
are facing rising raw material and other costs. They are also
coming under pressure from regulators and shareholders to cut
waste and use more recyclable materials, which will increase
costs. Small wonder companies are teaming up: International
Paper <IP.N>, for example, recently agreed to buy DS Smith
<SMDS.L> for $9.9 billion, and there have been 135 packaging
transactions so far this year according to Capstone Partners. By
buddying up, Amcor and Berry will together have a more
diversified business and be able to pool research costs.
    Still, the deal also suggests that even financially savvy
M&A can only go so far.
    Follow @karenkkwok on X
    
    CONTEXT NEWS
    Switzerland-based Amcor on Nov. 19 agreed to buy U.S. peer
Berry Global for $8.43 billion in an all-stock deal, creating a
consumer and healthcare packaging giant with combined revenues
of $24 billion.
    Berry’s shareholders will receive 7.25 Amcor shares for each
Berry share, valuing the group at $73.59, a premium of 9.75% to
the stock’s close on Nov. 18. Amcor shareholders will hold about
63% of the combined company.
    The transaction is expected to result in synergies of about
$650 million by the end of the third year after the closing of
the deal, which is expected to happen in the middle of 2025.
    The combined entity will be named Amcor, with a primary
listing in New York. The transaction has been unanimously
approved by the boards of both companies.
    Shares of Amcor ended 3% lower at $9.89 on Nov. 19, while
Berry Global’s shares ended 1% lower at $66.16.

    <^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
Graphic: Amcor shares are below pre-pandemic levels    https://reut.rs/3Cz92Qx
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^>
 (Editing by Neil Unmack and Oliver Taslic)
 ((For previous columns by the author, Reuters customers can
click on [KWOK/]
karen.kwok@thomsonreuters.com))"
2024,AMCR.N,urn:newsml:reuters.com:20241120:nL4N3MR127:1,2024-11-20 14:35:46.000,Deals of the day-Mergers and acquisitions,"(Adds: Tiger Brands)
       Nov 20 (Reuters) - The following bids, mergers,
acquisitions and disposals were reported by 1430 GMT on
Wednesday:

        ** South Africa's biggest food producer Tiger Brands
<TBSJ.J> said it will sell its Baby Wellbeing business for 605
million rand ($33.4 million), but will exclude its Purity brand,
which it described as a core asset. [nL1N3MR0EN]
  

    ** Singapore's CapitaLand Investment <CAPN.SI> said it would
acquire a 40% stake in SC Capital Partners Group (SCCP) for
S$280 million ($209.31 million), while also invest a minimum of
S$524 million in the company. [nL4N3MQ1X3]
    
    ** Hong Kong telecommunications company HKBN Ltd <1310.HK>
said it has received a non-binding proposal from state-owned
China Mobile <600941.SS> for a possible takeover of the
broadband firm as China Mobile aims to bolster its foothold in
Hong Kong. [nL4N3MQ1VS]
    
    ** Switzerland-based Amcor Plc <485.F> <AMCR.N> on Tuesday
agreed to buy U.S. peer Berry Global <BERY.N> for $8.43 billion
in an all-stock deal, creating a consumer and healthcare
packaging giant with combined revenues of $24 billion.
[nL4N3MQ0RS]
    
    ** Blackstone <BX.N> has agreed to buy Jersey Mike's Subs,
the sandwich chain said on Tuesday, in a deal that a source said
valued the company at around $8 billion, including debt.
[nL4N3MQ02K]

 (Compiled by Rajarshi Roy and Pooja Menon in Bengaluru)
 ((Rajarshi.Roy@thomsonreuters.com;))"
2024,AMCR.N,urn:newsml:reuters.com:20241120:nL4N3MR0M3:1,2024-11-20 10:40:47.000,Deals of the day-Mergers and acquisitions,"Nov 20 (Reuters) - The following bids, mergers,
acquisitions and disposals were reported by 1030 GMT on
Wednesday:

    ** Singapore's CapitaLand Investment <CAPN.SI> said it would
acquire a 40% stake in SC Capital Partners Group (SCCP) for
S$280 million ($209.31 million), while also invest a minimum of
S$524 million in the company. [nL4N3MQ1X3]
    
    ** Hong Kong telecommunications company HKBN Ltd <1310.HK>
said it has received a non-binding proposal from state-owned
China Mobile <600941.SS> for a possible takeover of the
broadband firm as China Mobile aims to bolster its foothold in
Hong Kong. [nL4N3MQ1VS]
    
    ** Switzerland-based Amcor Plc <485.F> <AMCR.N> on Tuesday
agreed to buy U.S. peer Berry Global <BERY.N> for $8.43 billion
in an all-stock deal, creating a consumer and healthcare
packaging giant with combined revenues of $24 billion.
[nL4N3MQ0RS]
    
    ** Blackstone <BX.N> has agreed to buy Jersey Mike's Subs,
the sandwich chain said on Tuesday, in a deal that a source said
valued the company at around $8 billion, including debt.
[nL4N3MQ02K]

 (Compiled by Rajarshi Roy and Pooja Menon in Bengaluru)
 ((Rajarshi.Roy@thomsonreuters.com;))"
2024,AMCR.N,urn:newsml:reuters.com:20241120:nL4N3MR00D:1,2024-11-20 00:22:04.000,BUZZ-ASX-listed shares of Amcor slip after $8.4 bln deal for US-based Berry,"** Amcor's Australia-listed shares <AMC.AX> fell as much as
3.2% to A$15.2, hitting their lowest level since July 24
    ** The Switzerland-based packaging firm agrees to buy
U.S.-based peer Berry <BERY.N> in an all-stock deal valued at
$8.43 bln
    ** Berry shareholders to receive $73.59 per share,
representing a premium of ~9.75% to Berry's last close on Nov.
18
    ** Combined entity to create a global presence in packaging
and healthcare solutions
    ** Stock logs largest intraday pct loss since early November
    ** More than 1.7 mln shares change hands vs the 30-day avg
volume of 1.3 mln shares
    ** AMC up 9.2% YTD, including current session's moves

 (Reporting by Nikita Maria Jino in Bengaluru)
 ((Nikita.Jino@thomsonreuters.com))"
2024,AMCR.N,urn:newsml:reuters.com:20241119:nL4N3MQ0RS:2,2024-11-19 20:50:37.000,UPDATE 4-Amcor to buy Berry Global in $8.4 billion deal to create packaging powerhouse,"(Adds background in paragraphs 1, 2, 7, and 9)
    By Sabrina Valle
       Nov 19 (Reuters) - Switzerland-based Amcor Plc <485.F>
<AMCR.N> on Tuesday agreed to buy U.S. peer Berry Global
<BERY.N> for $8.43 billion in an all-stock deal, creating a
consumer and healthcare packaging giant with combined revenues
of $24 billion. 
    As part of the transaction, Berry's shareholders will
receive $73.59 per share, representing a premium of 9.75% to the
stock's last close. Berry's shares were up 1% in afternoon
trading. 
    A sharp slowdown in demand for packaging material following
a boom fueled by e-commerce during the pandemic has sparked
consolidation in the sector.
    In April, U.S.-based International Paper <IP.N> agreed to an
all-share deal for DS Smith that valued the British packaging
firm at 5.8 billion pounds ($7.2 billion).
    Amcor and Berry make cartons, closures and containers for
food, beverage, pharmaceutical, medical, home and personal-care,
industries, and will have footprint across more than 140
countries.
    The deal is by far Amcor's largest acquisition to date. In
2019, it bought U.S. rival Bemis in a $5.25 billion all-stock
deal but had to divest three manufacturing facilities to gain
approval from the U.S. Justice Department.
    On a call with analysts, Amcor CEO Peter Konieczny said he
did not foresee any exposure to regulatory approvals in the deal
with Berry, pointing toward relatively lesser overlaps. 
    Konieczny will serve as CEO of the combined company, which
is expected to generate adjusted earnings of $4.3 billion. The
transaction is expected to result in synergies of about $650
million by the end of the third year after the closing of the
deal, which is expected to happen in the middle of 2025. 
    The combined entity will be named Amcor Plc, with a primary
listing on the NYSE. The transaction, which will result in Amcor
holding 63% in the combined entity, has been unanimously
approved by the boards of both companies. 
    Amcor and Berry initiated talks on a potential deal earlier
this year, according to a person familiar with the matter.
    UBS <UBSG.S>, Goldman Sachs <GS.N>, and Kirkland & Ellis
advised Amcor on the deal, while Lazard <LAZ.N>, Wells Fargo
<WFC.N> and Skadden, Arps, Slate, Meagher & Flom advised Berry.
    Separately, Berry posted a fourth-quarter adjusted profit of
$2.27 per share, compared with analysts' average estimate of
$2.25, according to data compiled by LSEG.  

 (Reporting by Sabrina Valle in New York, additional reporting
by Savyata Mishra, Ananya Mariam Rajesh and Utkarsh Shetti in
Bengaluru; Editing by Mrigank Dhaniwala, Sriraj Kalluvila and
Jonathan Oatis)
 ((Savyata.Mishra@thomsonreuters.com;))"
2024,AMCR.N,urn:newsml:reuters.com:20241119:nL4N3MQ1BU:1,2024-11-19 15:08:54.000,BUZZ-Berry hits record high after Amcor to buy co for $8.43 bln,"(Updates)
    ** Shares of packaging firm Berry Global <BERY.N> rise 3.1%
to $69.40, having touched a record high of $72.13 earlier
    ** U.S.-listed shares of Switzerland-based Amcor Plc
<AMCR.N> down 1.2% at $10.05
    ** Amcor agrees to buy U.S. peer Berry for $8.43 bln in an
all-stock deal, creating a co with a strong presence across
consumer and healthcare packaging markets
    ** Berry shareholders to receive $73.59 per share — a
premium of 9.75% to Berry's last close
    ** Deal is expected to close in the middle of 2025; Amcor
CEO Peter Konieczny will serve as CEO of the combined company
    ** The combined entity will be named Amcor Plc, with a
primary listing on the NYSE
    ** Separately, Berry's Q4 adj EPS of $2.27 beats est of
$2.25, as per data compiled by LSEG
    ** BERY sees FY 2025 adj. EPS of $6.10-$6.60
    ** Including session's move, BERY up 11.7% YTD while AMCR up
4.3% YTD

 (Reporting by Sukriti Gupta in Bengaluru)
 ((Sukriti.Gupta@thomsonreuters.com;))"
