year,company_ric,storyId,versionCreated,headline,newsText
2024,CNP.N,urn:newsml:reuters.com:20241219:nFWN3NK0J1:1,2024-12-19 21:24:38.000,BRIEF-Centerpoint Energy Proposes Solution To Help Mitigate Ercot's Regional Energy Shortfall In Central Texas While Lowering Greater Houston-Area Customer Bills,"Dec 19 (Reuters) - CenterPoint Energy Inc <CNP.N>:
    * CENTERPOINT ENERGY PROPOSES SOLUTION TO HELP MITIGATE
ERCOT'S
REGIONAL ENERGY SHORTFALL IN CENTRAL TEXAS WHILE LOWERING
GREATER HOUSTON-AREA CUSTOMER BILLS
    * CENTERPOINT ENERGY -PROPOSAL WOULD SEND ALL 15 LARGE
EMERGENCY
GENERATION UNITS TO SAN ANTONIO REGION FOR TWO YEARS STARTING IN
SPRING 2025
    * CENTERPOINT ENERGY - GREATER HOUSTON AREA CUSTOMER BILLS
WOULD
BE REDUCED STARTING IN SPRING 2025

Source text: [ID:nPn5WXtRya]
Further company coverage: [CNP.N]

 ((Reuters.Briefs@thomsonreuters.com;))"
2024,CNP.N,urn:newsml:reuters.com:20241219:nFWN3NK0J1:3,2024-12-19 21:08:04.397,CENTERPOINT ENERGY - GREATER HOUSTON AREA CUSTOMER BILLS WOULD BE REDUCED STARTING IN SPRING 2025,"Dec 19 (Reuters) - CenterPoint Energy Inc <CNP.N>:
    * CENTERPOINT ENERGY PROPOSES SOLUTION TO HELP MITIGATE
ERCOT'S
REGIONAL ENERGY SHORTFALL IN CENTRAL TEXAS WHILE LOWERING
GREATER HOUSTON-AREA CUSTOMER BILLS
    * CENTERPOINT ENERGY -PROPOSAL WOULD SEND ALL 15 LARGE
EMERGENCY
GENERATION UNITS TO SAN ANTONIO REGION FOR TWO YEARS STARTING IN
SPRING 2025
    * CENTERPOINT ENERGY - GREATER HOUSTON AREA CUSTOMER BILLS
WOULD
BE REDUCED STARTING IN SPRING 2025

Source text: [ID:nPn5WXtRya]
Further company coverage: [CNP.N]

 ((Reuters.Briefs@thomsonreuters.com;))"
2024,CNP.N,urn:newsml:reuters.com:20241219:nFWN3NK0J1:2,2024-12-19 21:07:51.927,CENTERPOINT ENERGY -PROPOSAL WOULD SEND ALL 15 LARGE EMERGENCY GENERATION UNITS TO SAN ANTONIO REGION FOR TWO YEARS STARTING IN SPRING 2025,"Dec 19 (Reuters) - CenterPoint Energy Inc <CNP.N>:
    * CENTERPOINT ENERGY PROPOSES SOLUTION TO HELP MITIGATE
ERCOT'S
REGIONAL ENERGY SHORTFALL IN CENTRAL TEXAS WHILE LOWERING
GREATER HOUSTON-AREA CUSTOMER BILLS
    * CENTERPOINT ENERGY -PROPOSAL WOULD SEND ALL 15 LARGE
EMERGENCY
GENERATION UNITS TO SAN ANTONIO REGION FOR TWO YEARS STARTING IN
SPRING 2025
    * CENTERPOINT ENERGY - GREATER HOUSTON AREA CUSTOMER BILLS
WOULD
BE REDUCED STARTING IN SPRING 2025

Source text: [ID:nPn5WXtRya]
Further company coverage: [CNP.N]

 ((Reuters.Briefs@thomsonreuters.com;))"
2024,CNP.N,urn:newsml:reuters.com:20241219:nFWN3NK0J1:1,2024-12-19 21:06:55.829,CENTERPOINT ENERGY PROPOSES SOLUTION TO HELP MITIGATE ERCOT'S REGIONAL ENERGY SHORTFALL IN CENTRAL TEXAS WHILE LOWERING GREATER HOUSTON-AREA CUSTOMER BILLS,"Dec 19 (Reuters) - CenterPoint Energy Inc <CNP.N>:
    * CENTERPOINT ENERGY PROPOSES SOLUTION TO HELP MITIGATE
ERCOT'S
REGIONAL ENERGY SHORTFALL IN CENTRAL TEXAS WHILE LOWERING
GREATER HOUSTON-AREA CUSTOMER BILLS
    * CENTERPOINT ENERGY -PROPOSAL WOULD SEND ALL 15 LARGE
EMERGENCY
GENERATION UNITS TO SAN ANTONIO REGION FOR TWO YEARS STARTING IN
SPRING 2025
    * CENTERPOINT ENERGY - GREATER HOUSTON AREA CUSTOMER BILLS
WOULD
BE REDUCED STARTING IN SPRING 2025

Source text: [ID:nPn5WXtRya]
Further company coverage: [CNP.N]

 ((Reuters.Briefs@thomsonreuters.com;))"
2024,CNP.N,urn:newsml:reuters.com:20241216:nTUAC1GWW1:1,2024-12-16 12:47:38.000,BRIEF-Centerpoint Energy Appoints Dean Seavers As New Board Member,"Dec 16 (Reuters) - CenterPoint Energy Inc <CNP.N>:
    * CENTERPOINT ENERGY APPOINTS DEAN SEAVERS AS NEW BOARD
MEMBER

Source text: [ID:nPn5SgLfSa]
Further company coverage: [CNP.N]"
2024,CNP.N,urn:newsml:reuters.com:20241216:nTUAC1GWW1:1,2024-12-16 12:15:05.280,CENTERPOINT ENERGY APPOINTS DEAN SEAVERS AS NEW BOARD MEMBER,"Dec 16 (Reuters) - CenterPoint Energy Inc <CNP.N>:
    * CENTERPOINT ENERGY APPOINTS DEAN SEAVERS AS NEW BOARD
MEMBER

Source text: [ID:nPn5SgLfSa]
Further company coverage: [CNP.N]"
2024,CNP.N,urn:newsml:reuters.com:20241212:nL4N3ND0Z8:3,2024-12-12 18:39:10.000,"BUZZ-U.S. STOCKS ON THE MOVE-Constellation Energy, Costco, ServiceTitan","* 
      Eikon search string for individual stock moves: [STXBZ]
    

        * 
      The Day Ahead newsletter: https://refini.tv/3LI4BU7
    

        * 
      The Morning News Call newsletter: https://refini.tv/3dKUyB8
    

  
Wall Street's main indexes inched lower on Thursday after the S&P 500 and the
Nasdaq ended the previous session on a positive note, while investors parsed
through some of the last economic datasets ahead of the Federal Reserve's
meeting. [.N]
    
At 13:30 EST, the Dow Jones Industrial Average <.DJI> was down 0.24% at
44,040.53.The S&P 500 <.SPX> was down 0.18% at 6,073.52, and the Nasdaq
Composite <.IXIC> was down 0.15% at 20,003.87.
 
The top three S&P 500 <.PG.INX> percentage gainers:
** Warner Bros Discovery Inc <WBD.OQ>, up 14.8%
** MetLife Inc <MET.N>, up 4.1%
** CH Robinson Worldwide Inc <CHRW.OQ>, up 4.0%
The top three S&P 500 <.PL.INX> percentage losers:
** Adobe Inc <ADBE.OQ>, down 13.3%
** Nordson Corp <NDSN.OQ>, down 9.1%
** Western Digital Corp <WDC.OQ>, down 6.6%
 
The top three NYSE <.PG.N> percentage gainers:
** 3D Systems Corp <DDD.N>, up 21.1%
** FiscalNote Holdings Inc <NOTE.N>, up 17.3%
** Ciena Corp <CIEN.N>, up 15.5%
The top three NYSE <.PL.N> percentage losers:
** Barnes & Noble Education Inc <BNED.N>, down 11.7%
** BigBear.ai Holdings Inc <BBAI.N>, down 11.1%
** Kosmos Energy Ltd <KOS.N>, down 10.5%
 
The top three Nasdaq <.PG.O> percentage gainers:
** Trevi Therapeutics Inc <TRVI.OQ>, up 74.7%
** Sealsq Corp <LAES.OQ>, up 67.8%
** Palisade Bio Inc <PALI.OQ>, up 60.7%
The top three Nasdaq <.PL.O> percentage losers:
** Keros Therapeutics Inc <KROS.OQ>, down 73.7%
** Sacks Parente Golf Inc <SPGC.OQ>, down 73.5%
** Samfine Creation Holdings Group Ltd <SFHG.OQ>, down 60.3%
    
 
 ** Adobe Inc <ADBE.O>:
BUZZ - Slides on downbeat FY25 revenue forecast, PT cuts [nL4N3ND0ML]
    
 ** Nordson Corp <NDSN.O>:
BUZZ - Down after forecasting FY 2025 sales, profit below estimates [nL4N3ND16M]
    
 ** Keros Therapeutics Inc <KROS.O>:
BUZZ - Hits all-time low as safety concerns halt trial dosing [nL4N3ND14D]
    
 **  Centene Corp <CNC.N>:
BUZZ - Climbs after forecasting 2025 profit above estimates [nL4N3ND0UC]
    
 ** Chewy Inc <CHWY.N>:
BUZZ - Slips as top shareholder's stake sale priced [nL6N3ND0H9]
    
 ** Kodiak Gas Services Inc <KGS.N>:
BUZZ - Falls after top shareholder EQT AB cuts stake again [nL4N3ND1AH]
    
 ** Ciena Corp <CIEN.N>:
BUZZ - Falls after Q4 profit miss [nL4N3ND0W1]
    
 ** Lovesac Co <LOVE.O>:
BUZZ - Falls after annual forecast cuts, Q3 sales miss [nL4N3ND0WO]
    
 ** Ormat Technologies Inc <ORA.N>:
BUZZ - Drops on pricing secondary offering [nL6N3ND0HV]
    
 ** Allegiant Travel Co <ALGT.O>:
BUZZ - Rises after upbeat forecast for December capacity [nL4N3ND160]
    
 ** Oxford Industries Inc <OXM.N>:
BUZZ - Falls after lowering FY forecasts [nL4N3ND15J]

 ** General Dynamics Corp <GD.N>:
BUZZ - Shares fall after Jefferies downgrades to 'hold' [nL4N3ND0Z0]
    
 ** T-Mobile US Inc <TMUS.O>:
BUZZ - Falls as Keybanc cuts to 'sector weight' [nL4N3ND0YY]
   
 ** Warner Bros Discovery Inc <WBD.O>:
BUZZ - Up on plan to split TV and streaming units [nL4N3ND10C]
    
 ** Middleby Corp <MIDD.O>:
BUZZ - Falls after Jefferies downgrades to 'hold', cuts PT [nL4N3ND17T]

 ** MMTec Inc <MTC.O>:
BUZZ - Falls after announcement of reverse stock split [nL4N3ND11I]
    
 ** Financial Institutions Inc <FISI.O>:
BUZZ - Lifts after $100 mln  stock offering priced [nL6N3ND0J7]
    
 ** Riot Platforms Inc <RIOT.O>:
BUZZ - Jumps after report activist Starboard Value takes stake [nL4N3ND11U]
    
 ** Kroger Co <KR.N>:
BUZZ - Rises after BMO Capital Markets lifts PT [nL4N3ND123]
    
 ** Archer Aviation Inc <ACHR.N>:
BUZZ - Raises $430 mln in fresh capital; shares down [nL4N3ND13W]
    
 ** Brookfield Renewable Corp <BEPC.N>:
BUZZ - Rise after JPMorgan raise PT, upgrades to overweight [nL4N3ND13X]
    
 **  J.Jill Inc <JILL.N>:
BUZZ - Up after upbeat third-quarter results [nL4N3ND15C]
    
 ** Safety Shot Inc <SHOT.O>:
BUZZ - Jumps after raising Q4 sales forecast [nL4N3ND132]
    
 ** Constellation Energy Corp <CEG.O>:
BUZZ - Rises after BofA turns bullish on growth potential [nL6N3ND0KY]
    
 ** Steel Dynamics Inc <STLD.O>:
 ** Nucor Corp <>:
BUZZ - Fall after UBS downgrades to 'neutral' [nL4N3ND17N]
    
 ** Imperial Oil Ltd <IMO.N>:
BUZZ - Falls after higher than expected 2025 capex forecast [nL4N3ND14U]
    
 ** Macy's Inc <M.N>:
BUZZ - Slides after brokerages cut PT on competition concerns [nL4N3ND0Y9]
    
 ** Costco Wholesale <COST.O>:
BUZZ - Shares extend gains; seen reporting Q1 EPS, rev increase [nL1N3ND0R0]
    
 ** Newmont Corp <NEM.N>:
** Barrick Gold Corp <GOLD.N>:
** Harmony Gold Mining Co Ltd <HMY.N>:
** AngloGold Ashanti Ltd <AU.N>:
BUZZ - Gold miners fall as bullion edges lower [nL4N3ND1B6]
    
 ** Liquidity Services Inc <LQDT.O>:
BUZZ - Hits more than 11-year high after results, outlook [nL1N3ND0QI]
    
 ** Otis Worldwide Corp <OTIS.N>:
BUZZ - Falls after Wolfe Research cuts to 'underperform' [nL4N3ND1C7]

 ** ServiceTitan Inc <TTAN.O>:
BUZZ - Soars nearly 50% in stellar Nasdaq debut [nL6N3ND0N4]
    
 ** Hut 8 Corp <HUT.O>:
BUZZ - Jumps, JonesResearch initiates coverage with 'buy' [nL4N3ND1DZ]
    
 ** Broadcom Inc <AVGO.O>:
BUZZ - Dips with other semis; co results due after the bell [nL1N3ND0VA]
    
 The 11 major S&P 500 sectors:
 
 Index RIC     Index name                         Percent change %
 <.SPX>        S&P 500                            -0.18 
 <.SPLRCT>     S&P 500 Information Technology                 -0.06
 <.SPLRCU>     S&P 500 Utilities                               0.28
 <.SPLRCD>     S&P 500 Consumer Discretionary                  -0.3
 <.SPLRCM>     S&P 500 Materials                              -0.56
 <.SPLRCI>     S&P 500 Industrials                            -0.36
 <.SPLRCL>     S&P 500 Communication Services                 -0.25
               (Sector)                           
 <.SPSY>       S&P 500 Financials                             -0.14
 <.SPLRCR>     S&P 500 Real Estate                             0.24
 <.SPXHC>      S&P 500 Health Care                             -0.6
 <.SPLRCS>     S&P 500 Consumer Staples                        0.44
 <.SPNY>       S&P 500 Energy                                 -0.34
 

 (Compiled by Rajarshi Roy and Anshuman Tripathy)
 ((Rajarshi.Roy@thomsonreuters.com))"
2024,CNP.N,urn:newsml:reuters.com:20241212:nL4N3ND16K:3,2024-12-12 15:42:16.000,"BUZZ-U.S. STOCKS ON THE MOVE-Riot Platforms, Archer, J.Jill","* 
      Eikon search string for individual stock moves: [STXBZ]
    

        * 
      The Day Ahead newsletter: https://refini.tv/3LI4BU7
    

        * 
      The Morning News Call newsletter: https://refini.tv/3dKUyB8
    

  
The S&P 500 and the Nasdaq slipped on Thursday after ending the previous session
on a positive note, while investors assessed some of the last economic datasets
ahead of the Federal Reserve's meeting. [.N]
    
At 10:30 EST, the Dow Jones Industrial Average <.DJI> was down 0.09% at
44,110.17.The S&P 500 <.SPX> was down 0.18% at 6,073.42, and the Nasdaq
Composite <.IXIC> was down 0.28% at 19,979.74.
 
The top three S&P 500 <.PG.INX> percentage gainers:
** Warner Bros Discovery Inc <WBD.OQ>, up 12.7%
** Caesars Entertainment Inc <CZR.OQ>, up 5.1%
** MetLife Inc <MET.N>, up 4.7%
The top three S&P 500 <.PL.INX> percentage losers:
** Adobe Inc <ADBE.OQ>, down 12.5%
** Nordson Corp <NDSN.OQ>, down 7.8%
** Texas Pacific Land Corp <TPL.N>, down 4.5%
 
The top three NYSE <.PG.N> percentage gainers:
** Surf Air Mobility Inc <SRFM.N>, up 18.0%
** Ciena Corp <CIEN.N>, up 16.9%
** 3D Systems Corp <DDD.N>, up 13.2%
The top three NYSE <.PL.N> percentage losers:
** Barnes & Noble Education Inc <BNED.N>, down 9.9%
** Oxford Industries Inc <OXM.N>, down 8.5%
** BP Prudhoe Bay Royalty Trust <BPT.N>, down 8.4%
 
The top three Nasdaq <.PG.O> percentage gainers:
** Palisade Bio Inc <PALI.OQ>, up 75.0%
** Trevi Therapeutics Inc <TRVI.OQ>, up 63.1%
** Sealsq Corp <LAES.OQ>, up 51.3%
The top three Nasdaq <.PL.O> percentage losers:
** Sacks Parente Golf Inc <SPGC.OQ>, down 79.0%
** Keros Therapeutics Inc <KROS.OQ>, down 75.9%
** Samfine Creation Holdings Group Ltd <SFHG.OQ>, down 55.1%
 
 ** Adobe Inc <ADBE.O>:
BUZZ - Slides on downbeat FY25 revenue forecast, PT cuts [nL4N3ND0ML]
    
 ** Nordson Corp <NDSN.O>:
BUZZ - Down after forecasting FY 2025 sales, profit below estimates [nL4N3ND0R0]
    
 ** Keros Therapeutics Inc <KROS.O>:
BUZZ - Hits all-time low as safety concerns halt trial dosing [nL4N3ND14D]
    
 **  Centene Corp <CNC.N>:
BUZZ - Climbs after forecasting 2025 profit above estimates [nL4N3ND0UC]
    
 ** Chewy Inc <CHWY.N>:
BUZZ - Slips as top shareholder's stake sale priced [nL6N3ND0H9]
    
 ** Kodiak Gas Services Inc <KGS.N>:
BUZZ - Dips as top shareholder EQT looks to cut stake again [nL4N3ND0VA]
    
 ** Ciena Corp <CIEN.N>:
BUZZ - Falls after Q4 profit miss [nL4N3ND0W1]
    
 ** Lovesac Co <LOVE.O>:
BUZZ - Falls after annual forecast cuts, Q3 sales miss [nL4N3ND0WO]
    
 ** Ormat Technologies Inc <ORA.N>:
BUZZ - Drops on pricing secondary offering [nL6N3ND0HV]
    
 ** Allegiant Travel Co <ALGT.O>:
BUZZ - Rises after upbeat forecast for December capacity [nL4N3ND160]
    
 ** Oxford Industries Inc <OXM.N>:
BUZZ - Falls after lowering FY forecasts [nL4N3ND0YU]

 ** General Dynamics Corp <GD.N>:
BUZZ - Shares fall after Jefferies downgrades to 'hold' [nL4N3ND0Z0]
    
 ** T-Mobile US Inc <TMUS.O>:
BUZZ - Falls as Keybanc cuts to 'sector weight' [nL4N3ND0YY]
   
 ** Warner Bros Discovery Inc <WBD.O>:
BUZZ - Up on plan to split TV and streaming units [nL4N3ND10C]
    
 ** Middleby Corp <MIDD.O>:
BUZZ - Slips after Jefferies downgrades to 'hold', cuts PT [nL4N3ND10Q]

 ** MMTec Inc <MTC.O>:
BUZZ - Falls after announcement of reverse stock split [nL4N3ND11I]
    
 ** Financial Institutions Inc <FISI.O>:
BUZZ - Lifts after $100 mln stock offering priced [nL6N3ND0J7]
    
 ** Riot Platforms Inc <RIOT.O>:
BUZZ - Jumps after report activist Starboard Value takes stake [nL4N3ND11U]
    
 ** Kroger Co <KR.N>:
BUZZ - Rises after BMO Capital Markets lifts PT [nL4N3ND123]
    
 ** Archer Aviation Inc <ACHR.N>:
BUZZ - Raises $430 mln in fresh capital; shares down [nL4N3ND13W]
    
 ** Brookfield Renewable Corp <BEPC.N>:
BUZZ - Rise after JPMorgan raise PT, upgrades to overweight [nL4N3ND13X]
    
 **  J.Jill Inc <JILL.N>:
BUZZ - Up after upbeat third-quarter results [nL4N3ND15C]
    
 The 11 major S&P 500 sectors:
 
 Index RIC        dex name                             Percent change %
 <.SPX>           S&P 500                              -0.18 
 <.SPLRCT>        S&P 500 Information Technology                       -0.43
 <.SPLRCU>        S&P 500 Utilities                                     0.64
 <.SPLRCD>        S&P 500 Consumer Discretionary                        -0.2
 <.SPLRCM>        S&P 500 Materials                                    -0.44
 <.SPLRCI>        S&P 500 Industrials                                  -0.37
 <.SPLRCL>        S&P 500 Communication Services                       -0.17
                  (Sector)                             
 <.SPSY>          S&P 500 Financials                                    0.05
 <.SPLRCR>        S&P 500 Real Estate                                   0.65
 <.SPXHC>         S&P 500 Health Care                                   0.02
 <.SPLRCS>        S&P 500 Consumer Staples                              0.56
 <.SPNY>          S&P 500 Energy                                       -0.78
 

 (Compiled by Rajarshi Roy and Anshuman Tripathy)
 ((Rajarshi.Roy@thomsonreuters.com))"
2024,CNP.N,urn:newsml:reuters.com:20241212:nL4N3ND0QQ:3,2024-12-12 14:07:56.000,"BUZZ-U.S. STOCKS ON THE MOVE-Chewy, Centene, General Dynamics","* 
      Eikon search string for individual stock moves: [STXBZ]
    

        * 
      The Day Ahead newsletter: https://refini.tv/3LI4BU7
    

        * 
      The Morning News Call newsletter: https://refini.tv/3dKUyB8
    

  
Wall Street's main indexes were set to open lower on Thursday, after the S&P 500
and the Nasdaq ended the previous session on a positive note, while investors
assessed some of the last economic datasets ahead of the Federal Reserve's
meeting. [.N]
    
 ** Adobe Inc <ADBE.O>:
 BUZZ - Slides on downbeat FY25 revenue forecast, PT cuts [nL4N3ND0ML]
    
 ** Nordson Corp <NDSN.O>:
 BUZZ - Down after forecasting FY 2025 sales, profit below estimates
[nL4N3ND0R0]
    
 ** Keros Therapeutics Inc <KROS.O>:
 BUZZ - Plunges as dosing halted in trial due to safety concerns [nL4N3ND0RU]
    
 **  Centene Corp <CNC.N>:
 BUZZ - Climbs after forecasting 2025 profit above estimates [nL4N3ND0UC]
    
 ** Burlington Stores Inc <BURL.N>:
 BUZZ - TD Cowen raises Burlington Stores' PT on margin benefits [nL4N3ND0V9]
    
 ** Chewy Inc <CHWY.N>:
 BUZZ - Slips as top shareholder's stake sale priced [nL6N3ND0H9]
    
 ** Kodiak Gas Services Inc <KGS.N>:
 BUZZ - Dips as top shareholder EQT looks to cut stake again [nL4N3ND0VA]
    
 ** Ciena Corp <CIEN.N>:
 BUZZ - Falls after Q4 profit miss [nL4N3ND0W1]
    
 ** Lovesac Co <LOVE.O>:
 BUZZ - Falls after annual forecast cuts, Q3 sales miss [nL4N3ND0WO]
    
 ** Ormat Technologies Inc <ORA.N>:
 BUZZ - Drops on pricing secondary offering [nL6N3ND0HV]
    
 ** Allegiant Travel Co <ALGT.O>:
 BUZZ - Forecasts upbeat December capacity [nL4N3ND0Y8]
    
 ** Oxford Industries Inc <OXM.N>:
 BUZZ - Falls after lowering FY forecasts [nL4N3ND0YU]
    
 ** General Dynamics Corp <GD.N>:
 BUZZ - Shares fall after Jefferies downgrades to 'hold' [nL4N3ND0Z0]

 (Compiled by Rajarshi Roy and Anshuman Tripathy)
 ((Rajarshi.Roy@thomsonreuters.com))"
2024,CNP.N,urn:newsml:reuters.com:20241212:nL4N3ND0VO:1,2024-12-12 13:23:43.000,BUZZ-Scotiabank 'cautious' on US utility stocks following Trump victory,"** Scotiabank says it is ""increasingly cautious"" and does
not see an attractive near-term outlook for U.S. utility stocks
    ** ""Macro investor sentiment has been unambiguously risk-on
since the U.S. elections ended with a swift and decisive Trump
victory and Republican sweep last month"" - brokerage 
    ** During Trump's first term, in 2017, utilities fared
worst, with 9% rise vs 16% growth in the broader market -
Scotiabank
    ** However, the brokerage says theme of 2025 will be the
robust outlook for electricity demand 
    ** Downgrades Eversource Energy <ES.N> to ""sector
underperform"", American Electric Power <AEP.O> and Alliant
Energy <LNT.O> to ""sector perform""
    ** Upgrades FirstEnergy <FE.N> and CenterPoint Energy
<CNP.N> to ""sector outperform"", Consolidated Edison <ED.N> to
""sector perform""

    Brokerage also changes PT on the following firms: 
 Company             New PT      Old PT      Upside/downside
                                             to stock's last
                                             close
 Alliant Energy      $67         $64         11%
 <LNT.O>                                     
 CenterPoint Energy  $35         $30         11%
 <CNP.N>                                     
 Consolidated        $100        $90         8%
 Edison <ED.N>                               
 Eversource Energy   $56         $66         7% downside
 <ES.N>                                      
 FirstEnergy <FE.N>  $50         $45         25%
                                             
 CMS Energy <CMS.N>  $77         $75         15%
 Dominion Energy     $61         $58         12%
 <D.N>                                       
 DTE Energy          $147        $137        21%
 <DTE.N>                                     
 Duke Energy         $120        $113        9%
 <DUK.N>                                     
 Exelon <EXC.O>      $42         $40         14%
 Southern Co <SO.N>  $98         $96         18%
 
 (Reporting by Pooja Menon in Bengaluru)
 ((Pooja.Menon@thomsonreuters.com;))"
